,Rank,asin,title,brand,Sponsored,Best Seller,Amazon's Choice,Price,Rating,NoofRatings,Discount,Delivery,Prime Delivery,base,image url,cat,Description,A-Description
56,56,B07Q7CNPMV,15 Ltrs Sea Blue Casual/School/College Backpack (DAYPACKNEO15CBSEB),Safari,0,0,0,299,4.0,"10,871",63,,0,"10,871",https://m.media-amazon.com/images/I/61kmCas5OCL._AC_UL320_.jpg,Backpack,15 Ltrs Sea Blue Casual/School/College Backpack (DAYPACKNEO15CBSEB),SKU: B07Q7CNPMV
57,57,B08YR984NY,"35 L Laptop Office/School/Travel/Business Backpack Water Proof - Fits Up to 15.6 Inch Laptop Notebook, With Raincover, Inside Organiser and 1 Year Warranty (All)",Lunar's,0,0,0,849,3.8,465,58,,1,465,https://m.media-amazon.com/images/I/81MwzP6Pe8L._AC_UL320_.jpg,Backpack,"35 L Laptop Office/School/Travel/Business Backpack Water Proof - Fits Up to 15.6 Inch Laptop Notebook, With Raincover, Inside Organiser and 1 Year Warranty (All)",SKU: B08YR984NY
58,58,B0983BM2F7,Medium 30 L Laptop Backpack Anti Theft Faux Leather (Brown),GoldStar,0,0,0,510,3.7,31,74,,1,31,https://m.media-amazon.com/images/I/810prIuPRJS._AC_UL320_.jpg,Backpack,Medium 30 L Laptop Backpack Anti Theft Faux Leather (Brown),SKU: B0983BM2F7
59,59,B08ZK19P11,Women's Backpack (Red),CAPRESE,0,0,0,794,4.0,2,76,,1,2,https://m.media-amazon.com/images/I/81uO2M4LNwS._UY625_.jpg,Backpack,Women's Backpack (Red),SKU: B08ZK19P11
60,60,B07LBMV4NR,Brown Leatherette Anti Theft Casual Laptop Backpack with 15.6 Inch Laptop Pocket,FUR JADEN,0,0,0,"1,799",4.3,917,40,,1,917,https://m.media-amazon.com/images/I/714Rv25H9PL._AC_UL320_.jpg,Backpack,Brown Leatherette Anti Theft Casual Laptop Backpack with 15.6 Inch Laptop Pocket,SKU: B07LBMV4NR
61,61,B078KS2FX1,"Talent Laptop Backpack with Rain Cover 32 Liters (Grey,Black)",F Gear,0,0,0,"1,049",4.4,917,62,,1,917,https://m.media-amazon.com/images/I/81uoDfmgNnL._UX522_.jpg,Backpack,"Talent Laptop Backpack with Rain Cover 32 Liters (Grey,Black)",SKU: B078KS2FX1
62,62,B00FXR0SQG,Royal Laptop Backpack,F Gear,0,0,0,"1,199",4.2,391,57,,1,391,https://m.media-amazon.com/images/I/61eTXicVi4L._AC_UL320_.jpg,Backpack,Royal Laptop Backpack,SKU: B00FXR0SQG
63,63,B07CP49QX2,University 25Litres Brown Casual Backpack Heavy,Paras,0,0,0,0,0.0,0,0,,0,,https://m.media-amazon.com/images/I/51ozEWVISiL._AC_UL320_.jpg,Backpack,University 25Litres Brown Casual Backpack Heavy,SKU: B07CP49QX2
64,64,B07PQN9JQB,"Arrow 30 L College/ School/ Office/ Casual/ Travel Backpack with 15.6"" laptop compartment, made with polyester, 1 year warranty",POLESTAR,0,0,0,654,4.0,"1,398",63,,1,"1,398",https://m.media-amazon.com/images/I/61dcx1kEbBL._AC_UL320_.jpg,Backpack,"Arrow 30 L College/ School/ Office/ Casual/ Travel Backpack with 15.6"" laptop compartment, made with polyester, 1 year warranty",SKU: B07PQN9JQB
65,65,B09QYTTLYD,Volt Faux Leather Laptop Backpack Travel Backpack college Backpack for Men and Women for 15.6Inch Laptops (Brown),Luzian,0,0,0,599,3.7,3,70,,1,3,https://m.media-amazon.com/images/I/71DI1qsBkFL._AC_UL320_.jpg,Backpack,Volt Faux Leather Laptop Backpack Travel Backpack college Backpack for Men and Women for 15.6Inch Laptops (Brown),SKU: B09QYTTLYD
66,66,B01DUHA5DQ,26 Ltrs Fuchsia Purple Casual Backpack (7410502),Puma,0,0,0,688,3.8,31,47,,1,31,https://m.media-amazon.com/images/I/91bsfiNBB8L._UY679_.jpg,Backpack,26 Ltrs Fuchsia Purple Casual Backpack (7410502),SKU: B01DUHA5DQ
67,67,B08F7YYZTJ,Women Backpack Latest School Bag for Girls (Black),DIVING DEEP,0,0,0,325,3.4,596,67,,0,596,https://m.media-amazon.com/images/I/51BPWfLZHFL._UX522_.jpg,Backpack,Women Backpack Latest School Bag for Girls (Black),SKU: B08F7YYZTJ
68,68,B0815GL34W,"Phase Backpack II- Palace Blue, X",Puma,0,0,0,589,4.3,44,55,,1,44,https://m.media-amazon.com/images/I/910Mj5nEBDL._AC_UL320_.jpg,Backpack,"Phase Backpack II- Palace Blue, X",SKU: B0815GL34W
69,69,B08P5KNPPQ,Vegan Leather Multi-Compartment Laptop Canvas Backpack.,Hot And Bold,0,0,0,"1,499",3.5,48,73,,1,48,https://m.media-amazon.com/images/I/71SCeNEb2ZL._AC_UL320_.jpg,Backpack,Vegan Leather Multi-Compartment Laptop Canvas Backpack.,SKU: B08P5KNPPQ
70,70,B084TPL24S,Backpack,Lino Perros,0,0,0,979,4.5,69,74,,1,69,https://m.media-amazon.com/images/I/81B3u9++Q4L._AC_UL320_.jpg,Backpack,Backpack,SKU: B084TPL24S
71,71,B07F61HRJF,33 Ltrs Blue Laptop Backpack (BPSPA1BLU),Skybags,0,0,0,"1,179",4.0,674,66,,1,674,https://m.media-amazon.com/images/I/61JlZmMpwRL._SY450_.jpg,Backpack,33 Ltrs Blue Laptop Backpack (BPSPA1BLU),SKU: B07F61HRJF
72,72,B093DH8B8C,Unisex Light Weight Backpack For Men/Women,KLEIO,0,0,0,727,3.9,97,48,,1,97,https://m.media-amazon.com/images/I/61KJcxCcijS._AC_UL320_.jpg,Backpack,Unisex Light Weight Backpack For Men/Women,SKU: B093DH8B8C
73,73,B07NSC4SL5,15 Ltrs Denim Blue Casual/School/College Backpack (DAYPACKNEO15CBDNB),Safari,0,0,0,299,4.0,"6,883",63,,0,"6,883",https://m.media-amazon.com/images/I/61YRI2+SIIL._AC_UL320_.jpg,Backpack,15 Ltrs Denim Blue Casual/School/College Backpack (DAYPACKNEO15CBDNB),SKU: B07NSC4SL5
74,74,B07T47ZLS3,"Phase Backpack, X, Puma Black-Golden logo",Puma,0,0,0,709,4.2,216,45,,1,216,https://m.media-amazon.com/images/I/81i2ZyglboL._AC_UL320_.jpg,Backpack,"Phase Backpack, X, Puma Black-Golden logo",SKU: B07T47ZLS3
75,75,B08P8L8T4Q,Luxur V2 Brown 27 Ltrs Laptop Backpack (3701),F Gear,0,0,0,"1,251",5.0,4,58,,1,4,https://m.media-amazon.com/images/I/81+uR6QSgtL._AC_UL320_.jpg,Backpack,Luxur V2 Brown 27 Ltrs Laptop Backpack (3701),SKU: B08P8L8T4Q
76,76,B08P9NNK7B,20 Ltrs Casual/School/College/Hiking Backpack for Men & Women,DEIN KLEIDER,0,0,0,328,3.5,522,64,,0,522,https://m.media-amazon.com/images/I/511EcvnypEL._AC_UL320_.jpg,Backpack,20 Ltrs Casual/School/College/Hiking Backpack for Men & Women,SKU: B08P9NNK7B
77,77,B09B267161,"HiTech 35 Ltrs Water Resistant Backpack - Black, L (HITECH19CBBLK)",Safari,0,0,0,954,3.8,168,68,,1,168,https://m.media-amazon.com/images/I/61I6joqxQPL._UX679_.jpg,Backpack,"HiTech 35 Ltrs Water Resistant Backpack - Black, L (HITECH19CBBLK)",SKU: B09B267161
78,78,B09RBF7KNL,"Emperor Anti-Theft backpack with combination lock Laptop bag , office bag , college bag ( MARSHALL )",TRUE HUMAN,0,0,0,599,0.0,0,80,,1,"₹599
₹2,999 Save ₹2,400 (80%)",https://m.media-amazon.com/images/I/51cMm2P+Y8L._UY550_.jpg,Backpack,"Emperor Anti-Theft backpack with combination lock Laptop bag , office bag , college bag ( MARSHALL )",SKU: B09RBF7KNL
79,79,B07PRBW9W5,Twing 30 Ltrs Grey Casual Backpack (FD0 (0) 08 003),American Tourister,0,0,0,959,4.2,180,62,,1,180,https://m.media-amazon.com/images/I/61TK7qwla4L._UX679_.jpg,Backpack,Twing 30 Ltrs Grey Casual Backpack (FD0 (0) 08 003),SKU: B07PRBW9W5
80,80,B09RSG214J,College bag for girls backpacks for women school bag for girls bag for girls diving deep bagpack,Craftify,0,0,0,699,0.0,0,65,,1,"₹699
₹1,999 Save ₹1,300 (65%)",https://m.media-amazon.com/images/I/417ExgcT3ML._AC_UL320_.jpg,Backpack,College bag for girls backpacks for women school bag for girls bag for girls diving deep bagpack,SKU: B09RSG214J
81,81,B084THWKPV,Arigato Melange 32 Ltrs Laptop Backpack,F Gear,0,0,0,947,4.2,62,57,,1,62,https://m.media-amazon.com/images/I/71bmYnHOy1L._AC_UL320_.jpg,Backpack,Arigato Melange 32 Ltrs Laptop Backpack,SKU: B084THWKPV
82,82,B07SX438XM,"AirCase Laptop Bag Backpack Case Pouch for 13-Inch, 14-Inch, 15.6-InchLaptop Backpack for Men & Women,(Black)",AirCase,0,0,0,"1,399",4.2,134,65,"Saturday, February 19",1,134,https://m.media-amazon.com/images/I/71SbXYsyO-L._UX679_.jpg,Backpack,"AirCase Laptop Bag Backpack Case Pouch for 13-Inch, 14-Inch, 15.6-InchLaptop Backpack for Men & Women,(Black)",SKU: B07SX438XM
83,83,B019HA8DQQ,Navy Blue and Green Casual Backpack (BKPECOBP40503),Gear,0,0,0,474,4.0,"3,575",57,,0,"3,575",https://m.media-amazon.com/images/I/9145Wr5s-VL._AC_UL320_.jpg,Backpack,Navy Blue and Green Casual Backpack (BKPECOBP40503),SKU: B019HA8DQQ
84,84,B09P3Z4NGB,"Hunter Anti Theft Waterproof Traveling Laptop Backpack With Upto 15.6L Capacity | Smart Lock | USB Charging Port For Mobile Phone Best Bag For Unisex Children/Adult, Men's & Women's (Grey)",Rewy,0,0,0,679,4.4,15,64,,0,15,https://m.media-amazon.com/images/I/41VLbmPVB2L._AC_UL320_.jpg,Backpack,"Hunter Anti Theft Waterproof Traveling Laptop Backpack With Upto 15.6L Capacity | Smart Lock | USB Charging Port For Mobile Phone Best Bag For Unisex Children/Adult, Men's & Women's (Grey)",SKU: B09P3Z4NGB
85,85,B08QGGLL83,32 Ltrs Black Casual Backpack (BPNNE18HBLK),Skybags,0,0,0,896,4.2,316,55,,1,316,https://m.media-amazon.com/images/I/71bHpbVlWUL._AC_UL320_.jpg,Backpack,32 Ltrs Black Casual Backpack (BPNNE18HBLK),SKU: B08QGGLL83
86,86,B08YF9VHTY,"Flamenco2 13 liters Sky Blue Casual Backpack (Tablet Compatible, Water Resistant) (14inch)",Genie,0,0,0,735,4.4,"1,044",59,,1,"1,044",,Backpack,"Flamenco2 13 liters Sky Blue Casual Backpack (Tablet Compatible, Water Resistant) (14inch)",SKU: B08YF9VHTY
87,87,B00Z9427SK,22 ltrs Black and Royal Blue Casual Backpack (BKPCMPUS10110),Gear,0,0,0,604,4.3,"3,232",45,,1,"3,232",https://m.media-amazon.com/images/I/81oORVyJzYL._AC_UL320_.jpg,Backpack,22 ltrs Black and Royal Blue Casual Backpack (BKPCMPUS10110),SKU: B00Z9427SK
88,88,B0998ZMT5L,Women Backpack,Lino Perros,0,0,0,"1,273",4.2,19,57,,1,19,https://m.media-amazon.com/images/I/61pljfqcmJS._UX522_.jpg,Backpack,Women Backpack,SKU: B0998ZMT5L
