,Unnamed: 0,asin,title,brand,Sponsored,Best Seller,Amazon's Choice,Price,Rating,NoofRatings,Discount,Delivery,Prime Delivery,base,image url
71,71,B07ZWB317K,Women's Casual Buttoned Winterwear Woolen Sweaters,eWools,0,0,0,378,3.7,587,76,,1,587,https://m.media-amazon.com/images/I/81xCLNm8VAL._AC_UL320_.jpg
72,72,B07W625FCP,Men's Wool Sweater,Allen Solly,0,0,0,"1,389",3.5,17,40,,1,17,https://m.media-amazon.com/images/I/61YjtCIHS4L._AC_UL320_.jpg
73,73,B07TK4M2ZN,Men's Classic Cotton Sweater,U.S. POLO ASSN.,0,0,0,"1,394",4.2,5,55,,1,5,https://m.media-amazon.com/images/I/91vPQsVmnuL._AC_UL320_.jpg
74,74,B09C3WWDZH,Women Woolen v-Neck self Design Cardigan Sweater for Winter wear Front Pockets,Honeybell,0,0,0,495,3.5,36,67,,0,36,https://m.media-amazon.com/images/I/81bW5eFN6OL._AC_UL320_.jpg
75,75,B09PDXC3C8,Women’s Acrylic Full Sleeve V-Neck Beige Sweater,MansiCollections,0,0,0,299,0.0,0,76,,1,"₹299
₹1,250 Save ₹951 (76%)",
76,76,B08L1D7Y11,Woollen Stylish Women's Skivy,Ogarti,0,0,0,499,3.9,142,55,,0,142,https://m.media-amazon.com/images/I/61UVVHQiYNL._AC_UL320_.jpg
77,77,B09LCL1CFL,Men's Wool V Neck Sweater,OM DESIGNER,0,0,0,499,3.4,15,75,,1,15,
78,78,B09C28PYQ8,Premium Women's Buttoned Pure Woollen Knitted Cardigan/Sweaters (100% Acrylic Wool),Chatanya,0,0,0,"1,149",3.9,90,56,,0,90,
79,79,B0993SJ98Y,Women's Classic Acrylic Cardigan Sweater,Women's,0,0,0,"1,153",4.2,41,68,,1,TAB91,https://m.media-amazon.com/images/I/61qmGaifHoS._AC_UL320_.jpg
80,80,B08C3BMYNV,Men's Classic Acrylic Sweater,Amazon Brand - Symbol,1,0,0,669,3.8,432,58,,1,432,https://m.media-amazon.com/images/I/91pk1S62ndL._AC_UL320_.jpg
81,81,B07TLLCBPQ,Men Hooded Sweatshirt,Amazon Brand - Symbol,1,0,0,829,3.9,376,67,,1,376,https://m.media-amazon.com/images/I/81yylYX2HpL._AC_UL320_.jpg
82,82,B08C3BH54T,Men's Acrylic Sweater,Amazon Brand - Arthur Harvey,1,0,0,679,3.7,159,69,,1,159,
83,83,B07TMNS6YX,Men Sweatshirt,Amazon Brand - Symbol,1,0,0,584,3.9,866,75,,1,866,https://m.media-amazon.com/images/I/814H1P3MukL._AC_UL320_.jpg
84,84,B097QDPJ1S,Men's Casual Acrylic Sweater,Amazon Brand - Arthur Harvey,0,0,0,555,4.4,4,72,,1,4,https://m.media-amazon.com/images/I/91LpYwYB12L._AC_UL320_.jpg
85,85,B07VFMY57C,Men Ombre V-Neck Full Sleeve Sweater,Le Bourgeois,0,0,0,429,4.4,19,73,,0,19,https://m.media-amazon.com/images/I/71LerFPYJRL._AC_UL320_.jpg
86,86,B09PYPHZ93,Woolen Sweater for Women Winter Wear Stitched A-Line Printed Long Embroidered Sweaters Casual Festive and Party Occasion Pink,Generic,0,0,0,649,4.0,1,35,,1,1,https://m.media-amazon.com/images/I/51DnjIZaQNL._AC_UL320_.jpg
87,87,B08R7TDKT2,Women Winter wear Woolen Sweater,eWools,0,0,0,473,3.8,403,70,,1,403,
88,88,B09NVRNLSP,Womens Winter Acrylic Full Sleeves Crop Top Sweater,KNITCO,0,0,0,499,3.6,7,71,,1,7,https://m.media-amazon.com/images/I/61qE3+UnZ5L._AC_UL320_.jpg
89,89,B07T1QJ5XQ,Men's Blouson Nylon Sweater,Arrow,0,0,0,599,3.0,3,80,,1,3,
90,90,B07HKH5KFK,Women's Fleece Round Sweatshirt,SHAUN,0,0,0,719,3.8,"1,209",76,,1,"1,209",
91,91,B08RL6SQM5,Women's Winter wear Embroidered Woolen Sweater Cardigan,eWools,0,0,0,663,3.8,763,74,,1,763,
92,92,B09C3VNFGH,Women Woolen v-Neck self Design Cardigan Sweater for Winter wear Front Pockets,Honeybell,0,0,0,495,3.4,8,67,,0,8,https://m.media-amazon.com/images/I/81g3K2Xg4YL._AC_UL320_.jpg
93,93,B098XS6QWZ,Women's Classic Acrylic Sweater,Women's,0,0,0,322,4.2,148,82,,0,TAB91,
94,94,B099WWBZNR,Women Woolen v-Neck Cardigan Sweater for Winter wear with Front Pockets,HONEYBELL,0,1,0,495,3.6,580,67,,0,580,https://m.media-amazon.com/images/I/71mjbP3KP1L._AC_UL320_.jpg
95,95,B097Q9K5LB,Men's Classic Acrylic Sweater,Amazon Brand - Symbol,0,0,0,470,3.8,432,71,,0,432,https://m.media-amazon.com/images/I/81MIQgVy2QL._AC_UL320_.jpg
96,96,B09995S71Z,Boy's Casual Acrylic Sweater,Amazon Brand - Jam & Honey,0,0,0,422,4.4,97,75,,0,97,
97,97,B099X479L9,Men's Casual Cotton Sweater,Levi's,0,0,0,"1,119",3.5,2,60,,1,2,
98,98,B098QSNB58,Men's Casual Cotton Sweater,Red Tape,0,0,0,848,3.1,20,75,,1,20,
99,99,B08C3CPRNV,Men's Acrylic Sweater,Amazon Brand - Symbol,0,0,0,637,4.1,142,73,,1,142,https://m.media-amazon.com/images/I/81bN-ZHjwtL._AC_UL320_.jpg
100,100,B07T6WVCGM,Men's Blouson Cotton Sweater,Arrow Sports,0,0,0,"1,039",3.8,6,60,,1,6,https://m.media-amazon.com/images/I/A1UV-J-o5EL._AC_UL320_.jpg
101,101,B09L5C85NP,Multicolor V Neck Mens Sweater Winter wear Casual Wear,OM DESIGNER,0,0,0,399,4.6,3,80,,1,3,https://m.media-amazon.com/images/I/71-Egx689PL._AC_UL320_.jpg
102,102,B09C3VNZLP,Women Woolen v-Neck self Design Cardigan Sweater for Winter wear Front Pockets,Honeybell,0,0,0,495,3.5,36,67,,0,36,https://m.media-amazon.com/images/I/8154yToi0RL._AC_UL320_.jpg
103,103,B09H45X2YG,Men's Sweater Half Wool V Neck,Bollywood Designer,0,0,0,399,3.2,9,73,,1,9,https://m.media-amazon.com/images/I/71bJHxvjxnL._AC_UL320_.jpg
104,104,B09C3VL8T9,Women Woolen v-Neck self Design Cardigan Sweater for Winter wear Front Pockets,Honeybell,0,0,0,495,4.1,10,67,,0,10,https://m.media-amazon.com/images/I/8154yToi0RL._AC_UL320_.jpg
105,105,B076BPDX3Y,Men's Casual Cotton Sweater,Puma,0,0,0,"1,219",3.8,19,47,,1,19,https://m.media-amazon.com/images/I/71D-zCDqIKL._AC_UL320_.jpg
106,106,B09JP1XHCL,Women Woolen Buttoned Collar Neck Stylish Party Winter Wear Coat Cardigan Sweater,PIPASA,0,0,0,899,3.9,360,55,,1,360,
107,107,B09DX83D66,Radial Striped Long Sleeve Turtleneck Knitted Pullover Women Sweater - Free Size,SG VOGUE,0,0,0,729,3.7,32,51,,1,32,
108,108,B098JMKJ6T,Women's Casual Acrylic Cardigan Sweater,Amazon Brand - Symbol,0,0,0,627,3.9,44,73,,1,44,
109,109,B07YNYKJKG,Men's Blouson Cotton Sweater,Red Tape,0,0,0,689,4.2,66,77,,1,66,https://m.media-amazon.com/images/I/71qW1Jg32EL._AC_UL320_.jpg
110,110,B09KNZNFDC,Premium Women's Winterwear Woolen Long Coat Sweater/Cardigan with Pocket (Made of Hair Feather Yarn Wool),Chatanya,0,0,0,"1,449",4.1,31,63,,0,31,
111,111,B098QV7M9F,Men's Casual Cotton Sweater,Red Tape,0,0,0,"1,049",0.0,0,72,,1,"₹1,049
₹3,699 Save ₹2,650 (72%)",https://m.media-amazon.com/images/I/81aulRRYWnL._AC_UL320_.jpg
112,112,B09HR9QP7Q,Women's Winterwear Woolen Sweaters,eKools,0,0,0,426,3.8,231,73,,1,231,https://m.media-amazon.com/images/I/71TD6mBAecL._AC_UL320_.jpg
113,113,B09GM9WPF4,"Men's Classic Full Sleeve Regular Fit V-Neck Pure Wool and Comfortable Winter wear Full Sweater for Men (Size M=38"",L=40"",XL=42"")",Super weston,0,0,0,499,2.6,26,15,,0,26,https://m.media-amazon.com/images/I/71jXkRChsaL._AC_UL320_.jpg
114,114,B01N9EBLV0,Women's Knitted Regular Fit V Neck Full Sleeve Self Solid Winter wear Cardigans,eWools,0,0,0,473,3.9,"1,342",70,,1,"1,342",https://m.media-amazon.com/images/I/71i3ozv3cbL._AC_UL320_.jpg
115,115,B01N7OEADM,Kids Hooded Sweater for Winter wear with Cotton Fabric,Luke and Lilly,0,0,0,499,3.9,"1,292",50,,1,"1,292",https://m.media-amazon.com/images/I/71nLrAlyfDL._AC_UL320_.jpg
116,116,B07BFGP8KN,Medium Grey Nylon Blend Contemporary Fit Sweater,Raymond,1,0,0,"3,429",3.3,3,44,,1,3,
117,117,B08CFN97NS,Men Sweatshirt,Amazon Brand - Symbol,1,0,0,589,4.1,628,67,,1,628,https://m.media-amazon.com/images/I/71b8937W80L._AC_UL320_.jpg
118,118,B08JM2ZD89,Winter Woolen Turtle Neck Sweater for Men,GODFREY,1,0,0,"1,139",4.0,183,37,,1,183,https://m.media-amazon.com/images/I/81bIsSwyTgL._AC_UL320_.jpg
119,119,B08JV8DWDP,Mens V-Neck Premium Cotton Sleeveless Sweater,GODFREY,1,0,0,764,3.9,324,52,,1,324,https://m.media-amazon.com/images/I/71b0OUF7ptL._AC_UL320_.jpg
120,120,B097QD4G2J,Men's Casual Acrylic Sweater,Amazon Brand - Arthur Harvey,1,0,0,679,4.2,53,69,,1,53,https://m.media-amazon.com/images/I/91wEf42Z9mL._AC_UL320_.jpg
121,121,B09HK4521R,Men's Sweater,RARE RABBIT,1,0,0,"1,499",0.0,0,50,,1,"₹1,499
50
₹2,999 Save ₹1,499.50 (50%)",
122,122,B08C3B8W5P,Men's Classic Acrylic Sweater,Amazon Brand - Symbol,1,0,0,549,3.8,432,66,,1,432,https://m.media-amazon.com/images/I/81ditwmpVyL._AC_UL320_.jpg
123,123,B08F64DTG2,Men Hooded Sweatshirt,Amazon Brand - Inkast Denim Co.,1,0,0,588,4.1,"1,108",73,,1,"1,108",https://m.media-amazon.com/images/I/81FyJZerKBL._AC_UL320_.jpg
124,124,B083V2CDLC,Men's Cotton Turtle Neck Sweater,DENIMHOLIC,0,0,0,795,4.0,308,47,,1,308,https://m.media-amazon.com/images/I/51rq43T9QmL._AC_UL320_.jpg
125,125,B09JKZZ3LM,Long High Turtleneck - Long Sleeve Knitted Jumper Women Pullover Thick Woolen Sweater Blouse - Free Size,SG VOGUE,0,0,0,799,5.0,6,60,,1,6,
126,126,B09C3WWDZH,Women Woolen v-Neck self Design Cardigan Sweater for Winter wear Front Pockets,Honeybell,0,0,0,495,3.5,36,67,,0,36,https://m.media-amazon.com/images/I/81bW5eFN6OL._AC_UL320_.jpg
127,127,B098JMKJ6T,Women's Casual Acrylic Cardigan Sweater,Amazon Brand - Symbol,0,0,0,627,3.9,44,73,,1,44,
128,128,B08C3B9GS3,Men's Blouson Acrylic Sweater,Amazon Brand - Symbol,0,0,0,399,3.9,139,80,,0,139,https://m.media-amazon.com/images/I/81mP0ekSsSL._AC_UL320_.jpg
129,129,B09QSLDPX9,"Striped Full Sleeve V-Neck Casual Wear Woolen Sweater for Men Regular Fit - Free Size,Multi",KIAYRA,0,0,0,399,0.0,0,60,,0,"₹399
₹999 Save ₹600 (60%)",https://m.media-amazon.com/images/I/710f9u50VRL._AC_UL320_.jpg
130,130,B09GHG3PSC,Women's Winter wear Woolen Sleeveless Sweaters with Front Pockets,eWools,0,0,0,473,3.7,59,66,,1,59,
131,131,B09N1R35DY,Sweater Boys Men Reversible Sleeveless Color Mouse-Fawn Sweater Pack of one (38),Tubination,0,0,0,499,4.0,1,67,,1,1,https://m.media-amazon.com/images/I/31snSVfsXtL._AC_UL320_.jpg
132,132,B09C5PCRHY,Men Sweatshirt,Van Heusen Sport,0,0,0,849,3.5,2,50,,1,2,https://m.media-amazon.com/images/I/81+4wvTc0gL._AC_UL320_.jpg
133,133,B09NVSB35N,Womens Winter Acrylic Full Sleeves Crop Top Sweater,KNITCO,0,0,0,499,3.6,7,71,,1,7,https://m.media-amazon.com/images/I/51EAZgiSJML._AC_UL320_.jpg
134,134,B09BCP7XW9,Men's Knitted Slim Fit Winter Wear High Neck Cotton Sweater,DENIMHOLIC,0,0,0,795,3.8,39,68,,1,39,https://m.media-amazon.com/images/I/51SIWPtWJZL._AC_UL320_.jpg
135,135,B07ZRZLY7Q,Boy's Cotton Sweater,Allen Solly,0,0,0,850,4.2,7,53,,1,7,https://m.media-amazon.com/images/I/51d7mNMaaYL._AC_UL320_.jpg
136,136,B09C3VMTNM,Women Woolen v-Neck self Design Cardigan Sweater for Winter wear Front Pockets,Honeybell,0,0,0,495,2.0,7,67,,0,7,https://m.media-amazon.com/images/I/81g3K2Xg4YL._AC_UL320_.jpg
137,137,B08HDZYS5T,Men's No Style Name Cotton Sweater,Peter England,0,0,0,639,3.8,8,60,,1,8,https://m.media-amazon.com/images/I/71js0f3Mv+S._AC_UL320_.jpg
138,138,B07Y82S63Q,Women's Knit High Neck Sweat shirt,Women's,0,0,0,399,3.9,201,80,,1,69GAL,https://m.media-amazon.com/images/I/71LVGla-SdL._AC_UL320_.jpg
139,139,B097Q9K5LB,Men's Classic Acrylic Sweater,Amazon Brand - Symbol,0,0,0,470,3.8,432,71,,0,432,https://m.media-amazon.com/images/I/81MIQgVy2QL._AC_UL320_.jpg
140,140,B08DG2M3WY,Men Sweatshirt,Amazon Brand - Symbol,1,0,0,579,4.1,631,74,,1,631,https://m.media-amazon.com/images/I/81wjbcVrU9L._AC_UL320_.jpg
141,141,B097Q9WWMG,Men's Casual Acrylic Sweater,Amazon Brand - Arthur Harvey,1,0,0,599,4.4,4,70,,1,4,
142,142,B097QBCF67,Men's Casual Acrylic Sweater,Amazon Brand - Arthur Harvey,1,0,0,689,3.6,39,69,,1,39,
143,143,B09D59LKDR,Men's Casual Wear 100% Cotton Sweatshirt for Winters,YOUNGISH,1,0,0,995,3.9,8,62,,1,8,https://m.media-amazon.com/images/I/81oNtMEJLCL._AC_UL320_.jpg
144,144,B098QSFF1D,Women's Acrylic Sweater,Mode By Red Tape,0,0,0,719,4.6,3,77,,1,3,
145,145,B097QBZ6HX,Men's Casual Acrylic Sweater,Amazon Brand - Symbol,0,0,0,679,4.3,51,64,,1,51,https://m.media-amazon.com/images/I/91Ic82GEZYL._AC_UL320_.jpg
146,146,B08M31LRN6,Women's Casual Polyester Shrug Sweater,Serein,0,0,0,389,3.7,312,81,,0,312,https://m.media-amazon.com/images/I/81WfD9hHlUL._AC_UL320_.jpg
