Rank,asin,title,brand,Sponsored,Best Seller,Amazon's Choice,Price,Rating,NoofRatings,Discount,Delivery,Prime Delivery,base,image url,cat,Description,A-Description
58,B08Y71XRZH,Men's Slim Jeans,Jack & Jones,0,0,0,"1,154",4,1,65,,1,1,https://m.media-amazon.com/images/I/910Q5jQsGcL._UY550_.jpg,Jean,Men's Slim Jeans,SKU: B08Y71XRZH
59,B09B9HK27D,Men's Regular Jeans,Pepe Jeans,0,0,0,"2,470",0,0,25,,1,"₹2,470
₹3,299 Save ₹829 (25%)",https://m.media-amazon.com/images/I/81OZ8yBYl9L._UX522_.jpg,Jean,Men's Regular Jeans,SKU: B09B9HK27D
60,B083Y52RYR,Men's RO-ALT-01AG-06 Slim Jeans,Spykar,0,0,0,839,0,0,70,,1,"₹839
₹2,799 Save ₹1,960 (70%)",https://m.media-amazon.com/images/I/81XSS53iI2L._AC_UL320_.jpg,Jean,Men's RO-ALT-01AG-06 Slim Jeans,SKU: B083Y52RYR
61,B07VR4P936,Plus Size Men's Jeans,JOHN PRIDE,0,0,0,"1,169",4.2,193,42,,1,193,https://m.media-amazon.com/images/I/61ySYdPgH2L._AC_UL320_.jpg,Jean,Plus Size Men's Jeans,SKU: B07VR4P936
62,B085RH5L7J,Boy's Slim Fit Jeans,Urbano Juniors,0,0,0,499,4,347,55,,1,347,https://m.media-amazon.com/images/I/51rRhR1yzaL._AC_UL320_.jpg,Jean,Boy's Slim Fit Jeans,SKU: B085RH5L7J
63,B07H4713JX,Men's Skinny Jeans,Amazon Brand - Symbol,0,0,0,729,3.7,"1,500",65,,1,"1,500",https://m.media-amazon.com/images/I/61vvY+cMTPL._UY550_.jpg,Jean,Men's Skinny Jeans,SKU: B07H4713JX
64,B07RJQ2RY2,Men Stretchable Jeans,Amazon Brand - Inkast Denim Co.,0,0,0,809,3.8,332,68,,1,332,https://m.media-amazon.com/images/I/81wAqvZ4HWL._AC_UL320_.jpg,Jean,Men Stretchable Jeans,SKU: B07RJQ2RY2
65,B0839HSW39,Men's Slim Jeans,Amazon Brand - Symbol,0,0,0,508,3.9,183,79,,1,183,https://m.media-amazon.com/images/I/71ZGe8EE0QL._UY550_.jpg,Jean,Men's Slim Jeans,SKU: B0839HSW39
66,B08XN6222F,Women's Skinny Jeans,AKA CHIC,0,0,0,699,4,23,71,,1,23,https://m.media-amazon.com/images/I/61PtpELCgnL._UY550_.jpg,Jean,Women's Skinny Jeans,SKU: B08XN6222F
67,B09MV2LYC2,Stylish Fashionable Women High Waist Regular wear Denim Jeans - Black,HOVAC,0,0,0,499,3.8,58,75,,1,58,https://m.media-amazon.com/images/I/31FeW4DRcoL._AC_UL320_.jpg,Jean,Stylish Fashionable Women High Waist Regular wear Denim Jeans - Black,SKU: B09MV2LYC2
68,B07QCNRZLL,Women's Skinny Jeans,Amazon Brand - Symbol,0,0,0,803,3.9,"1,599",65,,1,"1,599",https://m.media-amazon.com/images/I/71R6BamqlgS._UY550_.jpg,Jean,Women's Skinny Jeans,SKU: B07QCNRZLL
69,B07P9PPDMF,Women's Skinny Fit Jeans,AKA CHIC,0,0,0,738,3.9,831,66,,1,831,https://m.media-amazon.com/images/I/81B1VtY1JGL._AC_UL320_.jpg,Jean,Women's Skinny Fit Jeans,SKU: B07P9PPDMF
70,B07XKSP8DW,Men's Slim Fit Apparel,Neostreak,0,0,0,560,3.3,10,75,,1,10,https://m.media-amazon.com/images/I/815C1sbQsvL._AC_UL320_.jpg,Jean,Men's Slim Fit Apparel,SKU: B07XKSP8DW
71,B09B18VTL8,Women's Skinny Jeans,Levi's,0,0,0,"1,410",3.4,3,53,,1,3,https://m.media-amazon.com/images/I/51bgo7FZMZL._UX522_.jpg,Jean,Women's Skinny Jeans,SKU: B09B18VTL8
72,B092DJZKPW,Men's Sailor Skinny Jeans,Men's,0,0,0,652,3.4,10,80,,1,LAWMAN PG3,https://m.media-amazon.com/images/I/81uu-E8xIJL._AC_UL320_.jpg,Jean,Men's Sailor Skinny Jeans,SKU: B092DJZKPW
73,B0979DXZCJ,Men's Skinny Jeans,Spykar,0,0,0,"1,314",3.8,14,59,,1,14,https://m.media-amazon.com/images/I/51Vlzzh6pqL._UY550_.jpg,Jean,Men's Skinny Jeans,SKU: B0979DXZCJ
