,SKU,Sponsored,Best Seller,Amazon's Choice,Price,Rating,NoofRatings,Discount,Delivery,Prime Delivery,linkofproduct
16,"Duracell Rechargeable AAA 900mAh Batteries, 4 Pcs",0,0,0,799,4.3,"62,712",20,"Friday, January 28",1,https://www.amazon.in/Duracell-Ultra-5003449-Rechargeable-Batteries/dp/B0031YLTSY/ref=sr_1_17?keywords=AAA+batteries&qid=1643175172&sr=8-17
17,"Duracell Ultra Alkaline AAA Battery, 6 Pcs",0,0,0,211,4.5,"7,382",22,"Tuesday, February 1",1,https://www.amazon.in/Duracell-Alkaline-Battery-Duralock-Technology/dp/B014SZOX96/ref=sr_1_18?keywords=AAA+batteries&qid=1643175172&sr=8-18
18,Panasonic Rechargable Ni-MH AAA Rechargable Battery For Cordless Phone And Toys (Pack Of 2 Pcs),0,0,0,390,4.3,"1,623",51,"Tuesday, February 1",1,https://www.amazon.in/Panasonic-Rechargable-Ni-MH-Battery-Cordless/dp/B06X9ZGSF4/ref=sr_1_19?keywords=AAA+batteries&qid=1643175172&sr=8-19
19,"Eveready AAA Alkaline Batteries (Red, Pack of 10)",0,0,0,118,3.6,6,21,"Thursday, February 3",0,https://www.amazon.in/Eveready-AAA-Alkaline-Batteries-Pack/dp/B017SKZM7U/ref=sr_1_20?keywords=AAA+batteries&qid=1643175172&sr=8-20
20,"Duracell Ultra Alkaline AA Battery, 8 Pcs",1,0,0,289,4.5,"15,345",8,"Friday, January 28",1,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg1_1?ie=UTF8&adId=A084927730OQHFJXTYUF5&url=%2FDuracell-Alkaline-Battery-Duralock-Technology%2Fdp%2FB014SZO90Y%2Fref%3Dsr_1_21_sspa%3Fkeywords%3DAAA%2Bbatteries%26qid%3D1643175172%26sr%3D8-21-spons%26psc%3D1&qualifier=1643175172&id=1082206273304028&widgetName=sp_btf
21,"Duracell Ultra Alkaline AA Battery, 4 Pieces",1,0,0,160,4.5,"2,794",6,"Friday, January 28",1,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg1_1?ie=UTF8&adId=A07266711BR4VVEWCR8W7&url=%2FDuracell-Alkaline-Battery-Duralock-Technology%2Fdp%2FB014SZOORC%2Fref%3Dsr_1_22_sspa%3Fkeywords%3DAAA%2Bbatteries%26qid%3D1643175172%26sr%3D8-22-spons%26psc%3D1&qualifier=1643175172&id=1082206273304028&widgetName=sp_btf
22,AmazonBasics AA Performance Alkaline Non-Rechargeable Batteries (8-Pack) - Appearance May Vary,1,0,0,229,4.3,"35,771",49,"Sunday, January 30",1,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg2_1?ie=UTF8&adId=A0152964395T0WXSY517A&url=%2FAmazonBasics-Performance-Alkaline-Non-Rechargeable-Batteries%2Fdp%2FB00O869KJE%2Fref%3Dsr_1_17_sspa%3Fkeywords%3DAAA%2Bbatteries%26qid%3D1643175740%26sr%3D8-17-spons%26psc%3D1&qualifier=1643175740&id=1762953701527677&widgetName=sp_atf_next
23,"Duracell Alkaline AAA Battery Chhota Power, 12 Pcs",1,0,0,270,4.4,194,5,"Sunday, January 30",1,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg2_1?ie=UTF8&adId=A00618171FYKBAJ1XLSWJ&url=%2FDuracell-Alkaline-Battery-Chhota-Power%2Fdp%2FB096K6HTTF%2Fref%3Dsr_1_18_sspa%3Fkeywords%3DAAA%2Bbatteries%26qid%3D1643175740%26sr%3D8-18-spons%26psc%3D1&qualifier=1643175740&id=1762953701527677&widgetName=sp_atf_next
24,"ENVIE® AAA Rechargeable Batteries, High-Capacity Ni-MH 1100 mAh, Low Self Discharge, Pre-Charged (Pack of 2) (AAA11002PL)",0,0,0,299,4.1,"5,426",0,"Friday, January 28",1,https://www.amazon.in/Envie-InfinitePlus-1100AAA-Rechargeable-Battery-Black/dp/B00BN62EZY/ref=sr_1_19?keywords=AAA+batteries&qid=1643175740&sr=8-19
25,"Energizer Max Long Lasting High Performance Batteries AAA, Pack of 12",0,0,0,340,4.4,"1,099",0,"Friday, January 28",1,https://www.amazon.in/Energizer-Lasting-Performance-Batteries-AAA/dp/B07VL4ZHDF/ref=sr_1_20?keywords=AAA+batteries&qid=1643175740&sr=8-20
26,"Panasonic eneloop AAA Rechargeable Battery, Pack of 4",0,0,0,719,4.4,"3,332",10,"Friday, January 28",1,https://www.amazon.in/Panasonic-Battery-BK-4MCCE-4BN-Rechargable/dp/B017J8EWH2/ref=sr_1_21?keywords=AAA+batteries&qid=1643175740&sr=8-21
27,"Duracell Ultra Alkaline AAA Battery, 20 Pcs",0,0,0,809,4.5,"7,382",4,"Sunday, January 30",1,https://www.amazon.in/Duracell-Ultra-Alkaline-AAA-Battery/dp/B094MPFSGB/ref=sr_1_17?keywords=AAA+batteries&qid=1643175740&sr=8-17
28,Envie Infinite AAA 800 2PL Rechargeable Battery,0,0,0,250,4.0,"18,599",0,"Sunday, January 30",1,https://www.amazon.in/Envie-800RTU-Infinite-Rechargeable-Battery/dp/B01LEQTYZK/ref=sr_1_18?keywords=AAA+batteries&qid=1643175740&sr=8-18
29,Eveready 1012 Carbon Zinc AAA Battery - 10 Pieces,0,0,0,198,4.3,230,1,"Thursday, February 3",0,https://www.amazon.in/Eveready-1012-Carbon-Zinc-Battery/dp/B089571PDQ/ref=sr_1_19?keywords=AAA+batteries&qid=1643175740&sr=8-19
30,Eveready AAA Batteries Cells (Pack of 10),0,0,0,94,4.1,29,6,"Monday, January 31",0,https://www.amazon.in/Eveready-AAA-Batteries-Cells-Pack/dp/B08QJKR916/ref=sr_1_20?keywords=AAA+batteries&qid=1643175740&sr=8-20
31,Duracell Alkaline AAA Battery with Duralock Technology - 2 Pieces,0,0,0,83,4.3,42,1,"Fri, Jan 28",0,https://www.amazon.in/Duracell-Alkaline-Battery-Duralock-Technology/dp/B00FOQA6UO/ref=sr_1_21_0o_fs?almBrandId=ctnow&fpw=alm&keywords=AAA+batteries&qid=1643175740&sr=8-21
32,"Duracell Rechargeable AAA 750mAh Batteries, 2 Pcs",1,0,0,217,4.3,"62,712",1,"Friday, January 28",1,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg2_1?ie=UTF8&adId=A0786162RWPAYS35ZRO1&url=%2FDuracell-5000166-Rechargeable-Batteries-Green%2Fdp%2FB003B0048O%2Fref%3Dsr_1_22_sspa%3Fkeywords%3DAAA%2Bbatteries%26qid%3D1643175740%26sr%3D8-22-spons%26psc%3D1&qualifier=1643175740&id=1762953701527677&widgetName=sp_mtf
33,"Duracell Ultra Alkaline AAA Battery, 12 Pcs",1,0,0,510,4.5,"7,382",0,"Friday, January 28",1,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg2_1?ie=UTF8&adId=A093713930AE39DKA32H5&url=%2FDuracell-Alkaline-Battery-Duralock-Technology%2Fdp%2FB01DJJVGBA%2Fref%3Dsr_1_23_sspa%3Fkeywords%3DAAA%2Bbatteries%26qid%3D1643175740%26sr%3D8-23-spons%26psc%3D1&qualifier=1643175740&id=1762953701527677&widgetName=sp_mtf
34,Smartcell 1.5V AAA Non-Rechargeable Alkaline Mini Series Battery Pack of 4,0,0,0,66,5.0,2,8,"Sunday, January 30",1,https://www.amazon.in/Smartcell-1-5V-Non-Rechargeable-Alkaline-Battery/dp/B09MDGHM3K/ref=sr_1_24?keywords=AAA+batteries&qid=1643175740&sr=8-24
35,Smartcell 1.5V AAA Non-Rechargeable Alkaline Mini Series Battery Pack of 10,0,0,0,162,5.0,2,10,"Sunday, January 30",1,https://www.amazon.in/Smartcell-1-5V-Non-Rechargeable-Alkaline-Battery/dp/B09MDGG2HG/ref=sr_1_25?keywords=AAA+batteries&qid=1643175740&sr=8-25
36,"Duracell Ultra Alkaline AAA Battery, 2 pcs",0,0,0,84,4.5,255,0,"Wednesday, February 2",0,https://www.amazon.in/Duracell-Alkaline-Battery-Duralock-Technology/dp/B014SZOLWK/ref=sr_1_26?keywords=AAA+batteries&qid=1643175740&sr=8-26
37,"Panasonic EVOLTA Alkaline AAA Battery, Pack of 6",0,0,0,223,4.4,"2,477",12,"Tuesday, February 1",1,https://www.amazon.in/Panasonic-EVOLTA-Alkaline-Battery-Pack/dp/B08WB167X5/ref=sr_1_27?keywords=AAA+batteries&qid=1643175740&sr=8-27
38,"Panasonic EVOLTA Alkaline AAA Battery, Pack of 8",0,0,0,360,4.4,"2,477",0,"Friday, January 28",1,https://www.amazon.in/Panasonic-EVOLTA-Alkaline-Battery-Pack/dp/B08WC34GS3/ref=sr_1_28?keywords=AAA+batteries&qid=1643175740&sr=8-28
39,"Duracell Ultra Alkaline AA Battery, 8 Pcs",0,0,0,289,4.5,"15,345",8,"Friday, January 28",1,https://www.amazon.in/Duracell-Alkaline-Battery-Duralock-Technology/dp/B014SZO90Y/ref=sr_1_29?keywords=AAA+batteries&qid=1643175740&sr=8-29
40,"ENVIE® (AA10004PLNi-CD) AA Rechargeable Batteries, Low Self Discharge, AA 1000mAh Ni-CD (Pack of 4)",0,0,0,249,4.0,"18,599",0,"Friday, January 28",1,https://www.amazon.in/Envie-1000-4PL-Ni-CD-Rechargeable/dp/B00BN5SNF0/ref=sr_1_30?keywords=AAA+batteries&qid=1643175740&sr=8-30
41,AmazonBasics AA Performance Alkaline Non-Rechargeable Batteries (8-Pack) - Appearance May Vary,0,0,0,229,4.3,"35,771",49,"Sunday, January 30",1,https://www.amazon.in/AmazonBasics-Performance-Alkaline-Non-Rechargeable-Batteries/dp/B00O869KJE/ref=sr_1_31?keywords=AAA+batteries&qid=1643175740&sr=8-31
42,"ENVIE® AAA Rechargeable Batteries, High-Capacity Ni-MH 1100 mAh, Low Self Discharge, Pre-Charged (Pack of 2) (AAA11002PL)",1,0,0,299,4.1,"5,426",0,"Friday, January 28",1,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg2_1?ie=UTF8&adId=A0935295AN50BTG2TECK&url=%2FEnvie-InfinitePlus-1100AAA-Rechargeable-Battery-Black%2Fdp%2FB00BN62EZY%2Fref%3Dsr_1_32_sspa%3Fkeywords%3DAAA%2Bbatteries%26qid%3D1643175740%26sr%3D8-32-spons%26psc%3D1&qualifier=1643175740&id=1762953701527677&widgetName=sp_btf
43,AmazonBasics AAA Performance Alkaline Non-rechargeable Batteries (36 Count) - Appearance May Vary,1,0,0,599,4.4,"10,081",14,"Friday, January 28",1,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg2_1?ie=UTF8&adId=A08389574QFZF9JHHAR5&url=%2FAmazonBasics-Performance-Alkaline-Non-rechargeable-Batteries%2Fdp%2FB00LH3DMUO%2Fref%3Dsr_1_33_sspa%3Fkeywords%3DAAA%2Bbatteries%26qid%3D1643175740%26sr%3D8-33-spons%26psc%3D1&qualifier=1643175740&id=1762953701527677&widgetName=sp_btf
44,AmazonBasics AAA Performance Alkaline Non-rechargeable Batteries (100-Pack) - Appearance May Vary,1,0,0,"1,919",4.7,"29,872",0,"Friday, January 28",1,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg3_1?ie=UTF8&adId=A083788520W2GJAO8V30S&url=%2FAmazonBasics-Performance-Alkaline-Non-Rechargeable-Batteries%2Fdp%2FB01B8R6V2E%2Fref%3Dsr_1_33_sspa%3Fkeywords%3DAAA%2Bbatteries%26qid%3D1643176384%26sr%3D8-33-spons%26psc%3D1&qualifier=1643176384&id=5909250131569991&widgetName=sp_atf_next
45,AmazonBasics 9 Volt Everyday Alkaline Batteries (8-Pack) - Appearance May Vary,1,0,0,689,4.4,"108,381",14,"Friday, January 28",1,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg3_1?ie=UTF8&adId=A015257217NPGQC261U4X&url=%2FAmazonBasics-Everyday-Alkaline-Batteries-8-Pack%2Fdp%2FB00MH4QM1S%2Fref%3Dsr_1_34_sspa%3Fkeywords%3DAAA%2Bbatteries%26qid%3D1643176384%26sr%3D8-34-spons%26psc%3D1&qualifier=1643176384&id=5909250131569991&widgetName=sp_atf_next
46,"Duracell Rechargeable AAA 900mAh Batteries, 2 Pcs",0,0,0,494,4.3,"62,712",10,"Friday, January 28",1,https://www.amazon.in/Duracell-Ultra-5003447-Rechargeable-Batteries/dp/B0033B5TRW/ref=sr_1_35?keywords=AAA+batteries&qid=1643176384&sr=8-35
