,Unnamed: 0,asin,title,brand,Sponsored,Best Seller,Amazon's Choice,Price,Rating,NoofRatings,Discount,Delivery,Prime Delivery,base,image url
290,290,B099JBV179,Men's Slim Jeans,Amazon Brand - Inkast Denim Co.,0,0,0,799,3.9,37,67,,1,37,https://m.media-amazon.com/images/I/71uPs0qFpWL._AC_UL320_.jpg
291,291,B0979DXZCJ,Men's Skinny Jeans,Spykar,0,0,0,"1,281",3.8,14,60,,1,14,
292,292,B09F66RDKS,mens Jeans,Allen Solly,0,0,0,"1,224",3.8,11,39,,1,11,
293,293,B07W48JQBM,Women's Straight Fit Jeans,AKA CHIC,0,0,0,881,4.0,205,66,,1,205,https://m.media-amazon.com/images/I/81dgrqvXEmL._AC_UL320_.jpg
294,294,B08GXMFJNB,Women's Skinny Jeans,Levi's,0,0,0,"1,959",5.0,1,60,,1,1,https://m.media-amazon.com/images/I/81DLKgIGW-S._AC_UL320_.jpg
295,295,B09B4YYF8N,Women's Stretch Jeans,AKA CHIC,0,0,0,959,3.9,27,67,,1,27,
296,296,B07MQ8N9D6,Men's Slim Fit Stretchable Jeans,Neostreak,1,0,0,639,3.7,684,71,,1,684,
297,297,B09CH3T5PV,Mens Skinny Fit Stretchable Jeans,Amazon Brand - House & Shields,1,0,0,579,4.1,7,68,,1,7,https://m.media-amazon.com/images/I/71fVJVBUgJL._AC_UL320_.jpg
298,298,B08THX4PTQ,Men's Drop Crotch Skinny Jeans,Van Heusen,1,0,0,"1,119",3.9,"1,007",44,,1,"1,007",
299,299,B07SD46YBS,Men's Slim Fit Stretchable Fabric Casual Wear Denim Jeans,RAGZO,1,0,0,735,3.5,"1,205",51,,1,"1,205",https://m.media-amazon.com/images/I/81xf-DRC-tL._AC_UL320_.jpg
300,300,B07C77BJFB,Men's Slim Jeans,Diverse,1,0,0,619,3.7,"3,307",75,,1,"3,307",https://m.media-amazon.com/images/I/41g9qjzIuLL._AC_UL320_.jpg
301,301,B07587NX3Z,Men's Relaxed Jeans,Diverse,1,0,0,619,3.7,"4,053",69,,1,"4,053",
302,302,B0767SR1NL,Men Jeans,Diverse,1,0,0,659,3.8,466,67,,1,466,https://m.media-amazon.com/images/I/61qur7WlyvL._AC_UL320_.jpg
303,303,B08THTVVJR,Men's Drop Crotch Skinny Jeans,Van Heusen,1,0,0,"1,119",3.9,"1,007",44,,1,"1,007",
304,304,B09CH2P4D7,Men's Slim Stretchable Jeans,Amazon Brand - Symbol,0,0,0,599,3.9,164,65,,1,164,https://m.media-amazon.com/images/I/81bERsbkGnL._AC_UL320_.jpg
305,305,B084HRSWQV,Men's Relaxed Jeans,Diverse,0,0,0,529,3.0,4,65,,1,4,https://m.media-amazon.com/images/I/71MBr37GjtL._AC_UL320_.jpg
306,306,B08VH93JQ8,Men's Regular Jeans,U.S. POLO ASSN.,0,0,0,"2,399",4.0,5,25,,1,5,
307,307,B0767MH15R,Men's Slim Jeans,Diverse,0,0,0,619,3.7,"3,307",69,,1,"3,307",
308,308,B09B4Z4TVC,Women's Relaxed Jeans,AKA CHIC,0,0,0,939,5.0,6,64,,1,6,https://m.media-amazon.com/images/I/61InK0MovqL._AC_UL320_.jpg
309,309,B07P8D1V8H,DJ&C by FBB Women's Slim Fit Jeans,DJ & C,0,0,0,299,3.7,55,50,,0,55,
310,310,B07842CF1P,Men's Regular Fit Knee Distressed Jeans,EditLook,0,0,0,487,3.4,384,68,,1,384,https://m.media-amazon.com/images/I/41kHo9i+4oL._AC_UL320_.jpg
311,311,B08DS57BFX,Women's Skinny Fit Jeans,ONLY,0,0,0,438,4.1,486,85,,0,486,https://m.media-amazon.com/images/I/61yQlB4ytaL._AC_UL320_.jpg
312,312,B083ZPHND3,Women's Regular Jeans,JEANATICS,0,0,0,783,4.0,33,73,,1,33,
313,313,B07CN831HJ,Women's Regular Rise Skinny Jeans,AKA CHIC,0,0,0,899,4.0,383,61,,1,383,https://m.media-amazon.com/images/I/81yrspVIZpL._AC_UL320_.jpg
314,314,B07ZVRQKDY,Women's Relaxed Jeans,AKA CHIC,0,0,0,914,3.7,228,66,,1,228,
315,315,B099PQ9FXK,Girl's Carrot Slim Jeans,Blink Street,0,0,0,579,4.0,3,64,,1,3,
316,316,B098Q9SDQ4,Men's Skinny Fit Jeans,Red Tape,0,0,0,"1,231",4.1,11,73,,1,11,
317,317,B08KH78HVD,ALEXANDER JEANS by ROHIT BALDark Blue Denim Jeans with Cross on one side,ROHIT BAL,0,0,0,"6,644",5.0,1,30,,1,1,
318,318,B07XB1Q958,Men's Slim Jeans,Amazon Brand - Symbol,0,0,0,729,3.6,195,59,,1,195,
319,319,B07YF3PKLQ,Men's Slim Fit Jeans,Urbano Fashion,0,0,0,829,3.8,298,56,,1,298,https://m.media-amazon.com/images/I/61cNjjtuFML._AC_UL320_.jpg
320,320,B08V9FQCX9,Men's Skinny Jeans,U.S. POLO ASSN.,1,0,0,"1,743",2.5,4,42,,1,4,https://m.media-amazon.com/images/I/81bZazZ+QoL._AC_UL320_.jpg
321,321,B09GRNYVLL,Regular Fit Blue Jean for Men,Dotiq,1,0,0,899,3.5,13,64,,1,13,
322,322,B08KGVYXR2,Men's Relaxed Fit Jeans,STUDIO NEXX,1,0,0,479,3.7,27,76,,0,27,
323,323,B08KH1848H,Men's Blue Relaxed Fit Jeans,STUDIO NEXX,1,0,0,619,3.8,82,65,,1,82,
324,324,B09JS64PPL,Stretchable Jeans for Men Regular Fit with Elastic Band,VERSATYL,0,0,0,"1,349",3.3,22,33,,1,22,
325,325,B07GYDF47W,Men's Slim Stretchable Jeans,Amazon Brand - Inkast Denim Co.,0,0,0,649,3.7,702,73,,1,702,https://m.media-amazon.com/images/I/81GoDjV63QS._AC_UL320_.jpg
326,326,B099HXRC29,mens Jeans,Amazon Brand - Inkast Denim Co.,0,0,0,789,5.0,4,68,,1,4,https://m.media-amazon.com/images/I/814khlmmgIL._AC_UL320_.jpg
327,327,B084HRZNMX,Men's Relaxed Jeans,Diverse,0,0,0,529,3.6,4,65,,1,4,https://m.media-amazon.com/images/I/81jiHOTKrYL._AC_UL320_.jpg
328,328,B07FPCJKMS,DJ&C by FBB Boys' Relaxed Jeans,DJ & C,0,0,0,599,4.1,130,14,,1,130,https://m.media-amazon.com/images/I/91h5yhTR67L._AC_UL320_.jpg
329,329,B01M2WWJ5W,Men's Relaxed Fit Jeans,Ben Martin,0,0,0,698,3.6,208,72,,1,208,https://m.media-amazon.com/images/I/61+ymeZjHJL._AC_UL320_.jpg
330,330,B07DB5CB92,Men's Regular Fit Denim Jeans(BM-JNS-WHTE),Ben Martin,0,0,0,749,3.7,235,75,,1,235,
331,331,B08ZCRSYY6,Women's Plus/Big Size Jeans,Broadstar,0,0,0,899,4.0,64,55,,1,64,https://m.media-amazon.com/images/I/31KOmm-eAPL._AC_UL320_.jpg
332,332,B09D8L8ZZJ,Habit Creation High Waist Jeans Single Button Women (Black),Generic,0,0,0,799,4.0,2,20,,0,2,
333,333,B077N4DHS4,Men's Jeans,EditLook,0,0,0,487,3.6,562,68,,1,562,https://m.media-amazon.com/images/I/71YV0wBJ-TL._AC_UL320_.jpg
334,334,B08DMNXJQ3,Women's Relaxed Fit Joggers,FUNDAY FASHION,0,0,0,279,3.5,"3,023",81,,0,"3,023",https://m.media-amazon.com/images/I/81IlHUNezAL._AC_UL320_.jpg
335,335,B093YBV6WG,Baby Boys Cotton Printed Jeans in Blue Color,Hopscotch,0,0,0,759,3.8,18,0,,1,18,https://m.media-amazon.com/images/I/61HGW82EsYS._AC_UL320_.jpg
336,336,B08GJ9SS4H,Boy's Regular Jeans,Amazon Brand - Jam & Honey,0,0,0,803,4.2,915,55,,1,915,https://m.media-amazon.com/images/I/91WDOXmC9IL._AC_UL320_.jpg
337,337,B07DFPTDM2,Men's Slim Fit Jeans,Urbano Fashion,0,0,0,749,3.7,553,46,,1,553,https://m.media-amazon.com/images/I/61dL-tqEQaL._AC_UL320_.jpg
338,338,B07VGGJWCH,Men's Slim Jeans,Deniklo,0,0,0,754,4.0,224,71,,1,224,https://m.media-amazon.com/images/I/81KZLyAhoeL._AC_UL320_.jpg
339,339,B08X374RRC,Women's Skinny Fit Jeans,V-Girl,0,0,0,599,3.8,604,70,,0,604,https://m.media-amazon.com/images/I/616Sc3K8DuL._AC_UL320_.jpg
340,340,B07XG52D83,Men's Carrot Fit Jeans,Amazon Brand - Symbol,0,0,0,559,3.4,179,65,,1,179,https://m.media-amazon.com/images/I/810gX-6H1XL._AC_UL320_.jpg
341,341,B09B4Z6LTK,Women's Stretch Jeans,AKA CHIC,0,0,0,999,5.0,1,50,,1,1,
342,342,B07HZCCL1B,Men's Straight Casual Trousers,Amazon Brand - Inkast Denim Co.,0,0,0,699,3.5,381,72,,1,381,https://m.media-amazon.com/images/I/81QcbuXUuXL._AC_UL320_.jpg
343,343,B08S3D8H5Q,Men's Carrot Regular Jeans,Max,0,0,0,799,3.6,59,0,,0,59,
344,344,B07Y21XMPT,Women's Loose Fit Jeans,FUNDAY FASHION,0,0,0,299,3.7,111,79,,0,111,https://m.media-amazon.com/images/I/81vWJuyPCzL._AC_UL320_.jpg
345,345,B08XLF6N78,Women's Skinny Fit Jeans,AKA CHIC,0,0,0,459,3.8,8,81,,0,8,https://m.media-amazon.com/images/I/61weiMevjAL._AC_UL320_.jpg
346,346,B09Q92LP31,Boys Cotton Printed Denim Jeans in Navy Color,Hopscotch,0,0,0,544,0.0,0,1,,1,"₹544
₹549 Save ₹5 (1%)",
347,347,B09CVYNQH8,Men's Skinny Jeans,Spykar,0,0,0,"1,082",2.6,6,63,,1,6,
348,348,B09DD3JVQK,Women's Boyfriend Skinny Jeans,VERO MODA,0,0,0,860,4.3,25,71,,1,25,https://m.media-amazon.com/images/I/51IBL0bobRL._AC_UL320_.jpg
349,349,B07MB1YJHY,Women's Slim Fit Jeans,Lee Cooper,0,0,0,898,3.6,9,61,,1,9,
350,350,B01C2DG5HE,Men's Relaxed Fit Stretchable Jeans (Made in India),Dragaon,0,0,0,"1,395",4.1,160,60,,1,160,
351,351,B09LCR9J2X,Men's Skinny Jeans,Amazon Brand - Symbol,0,0,0,699,4.2,3,65,,1,3,https://m.media-amazon.com/images/I/81IbwdUa7mL._AC_UL320_.jpg
352,352,B0979DXN79,Men's Skinny Jeans,Spykar,0,0,0,"1,125",3.5,38,60,,1,38,
353,353,B07M7CK4C2,Men's Slim Jeans,"L,Zard",0,0,0,499,3.4,"1,064",78,,1,"1,064",https://m.media-amazon.com/images/I/61PJp-UGw8L._AC_UL320_.jpg
354,354,B08DPW2SD4,"Skinny Men Black Jeans Size 28 | Soft Denim Narrow Fit Relaxed Jeans | Comfortable Regular Fit Jeans, Denim Fabric Jeans for Casual & Office Wear",Hill Turner,0,0,0,499,4.1,5,80,,1,5,
355,355,B09C6HFR1L,Men's Skinny Jeans,Spykar,0,0,0,"1,137",3.3,20,58,,1,20,
356,356,B07RHLVFG9,Men Stretchable Jeans,Amazon Brand - Inkast Denim Co.,1,0,0,809,3.8,336,68,,1,336,
357,357,B09D3BRMTP,Men's Slim fit Jeans,OOBANI,1,0,0,759,4.1,4,62,,1,4,
358,358,B07TBGX8C7,Men's Slim Fit Apparel,Neostreak,1,0,0,679,3.6,173,68,,1,173,https://m.media-amazon.com/images/I/81wnIzKFQtL._AC_UL320_.jpg
359,359,B09D3CX7TF,Men's Skinny Jeans,OOBANI,1,0,0,679,3.7,55,66,,1,55,https://m.media-amazon.com/images/I/51TUrbjK9LL._AC_UL320_.jpg
360,360,B094X96Z4Z,VMart Men Solid Cotton Knitted Denim Medium Rise Jeans,V MART,1,0,0,"1,299",2.6,7,0,,1,7,
361,361,B09Q6JXSCZ,Spotlight Fashions Regular Fit Stretchable Jeans Pant for Men,Generic,1,0,0,999,0.0,0,23,,0,"₹999
₹1,299 Save ₹300 (23%)",https://m.media-amazon.com/images/I/31Xwh5JZm-L._AC_UL320_.jpg
362,362,B09QKX9Z99,UP Men's Denim Blend Solid Slim Jeans for Men,UP Online Store,1,0,0,499,4.6,7,38,,1,7,https://m.media-amazon.com/images/I/71I6gcnsYjL._AC_UL320_.jpg
363,363,B09DD1CXJH,Jeans Solid/Plain Casual Jeans for Mens,VLK,1,0,0,0,0.0,0,0,,0,,https://m.media-amazon.com/images/I/71Poej6eQNL._AC_UL320_.jpg
364,364,B07N22D1Z4,Men's Slim Fit Jeans,Wrangler,0,0,0,"1,175",3.2,28,58,,1,28,https://m.media-amazon.com/images/I/81+lJQ6RIrL._AC_UL320_.jpg
365,365,B07VM8ZCF7,Men's Regular Fit Stretch Jeans,STUDIO NEXX,0,0,0,645,3.6,993,58,,1,993,
366,366,B07QS21LF6,Women's & Girls' Regular Fit Jeans,ZXN Clothing,0,0,0,495,3.8,"3,165",71,,0,"3,165",https://m.media-amazon.com/images/I/61ULOrRCEUL._AC_UL320_.jpg
367,367,B09DT71XHC,Womens Denim Highwaist Jeans,Broadstar,0,0,0,799,4.0,8,60,,1,8,https://m.media-amazon.com/images/I/31d9xfpeZHL._AC_UL320_.jpg
368,368,B01J1FYQKE,Women's Slim Fit Jeans,NIFTY,0,0,0,799,3.9,783,47,,1,783,https://m.media-amazon.com/images/I/611SuTgCLrL._AC_UL320_.jpg
369,369,B08JYN3BZT,Men's Cotton Low Rise Slim Fit Narrow Leg Regular Length Skinny Jeans (Pack of 1) (Skn-01bj-08),Spykar,0,0,0,583,0.0,0,78,,1,"₹583
₹2,699 Save ₹2,116 (78%)",
370,370,B09K4C5J3D,Women's Bootcut Wide Leg Jeans,Malachi,0,0,0,890,3.4,26,61,,1,26,https://m.media-amazon.com/images/I/817FpLGHEyL._AC_UL320_.jpg
371,371,B09BZQ3RKJ,Mens SMU Jeans Slim,Integriti,0,0,0,942,4.7,7,69,,1,7,
372,372,B078W6499P,Women's Skinny Fit Jeans,Levi's,0,0,0,999,3.9,151,50,,1,151,
373,373,B08XQT2Q2Q,Men's Boyfriend Regular Jeans,Lee Cooper,0,0,0,"1,406",2.6,7,50,,1,7,
374,374,B094VXFTZG,Women's Skinny Jeans,Van Heusen Woman,0,0,0,999,3.7,54,50,,1,54,
375,375,B07GXJKNBN,mens Stretchable Jeans,Amazon Brand - Inkast Denim Co.,0,0,0,859,3.4,109,67,,1,109,https://m.media-amazon.com/images/I/91KPpcuJAXL._AC_UL320_.jpg
376,376,B082QD3T9G,Women's Skinny Fit Jeans,Levi's,0,0,0,"1,959",4.2,49,60,,1,49,
377,377,B075P1WGT5,US Polo Association Men Jeans,U.S. POLO ASSN.,0,0,0,"2,499",3.9,33,0,,1,33,
378,378,B08PS74XZ3,Men's Black Slim Fit Solid Jeans Stretchable,Urbano Fashion,0,0,0,749,4.0,105,46,,1,105,https://m.media-amazon.com/images/I/61ZyJhGxTzL._AC_UL320_.jpg
379,379,B09MLTXPKL,Black High Waist Denim Jeans for Women,O'MINE,0,0,0,449,3.9,7,65,,0,7,https://m.media-amazon.com/images/I/611WYTmYVHL._AC_UL320_.jpg
380,380,B09DG8M151,"Men Premium Cotton Blend, Light Weight, Stretchable Jeans | Best Fit for Everyone",COBB,1,0,0,699,3.7,47,75,,1,47,https://m.media-amazon.com/images/I/71Pgw-rWW4L._AC_UL320_.jpg
381,381,B09JRWMT8M,Stretchable Jeans for Men Regular Fit with Elastic Band,VERSATYL,1,0,0,"1,349",3.3,22,33,,1,22,
382,382,B09QMPQNC5,Spotlight Fashions Regular Fit Stretchable Jeans Pant for Men,Generic,1,0,0,999,0.0,0,23,,0,"₹999
₹1,299 Save ₹300 (23%)",https://m.media-amazon.com/images/I/31ytMGUXAeL._AC_UL320_.jpg
383,383,B07W3LQFGG,Men Slim Fit Urban Grey Khaki,blackberrys,1,0,0,"1,200",3.2,15,50,,1,15,
384,384,B08VDVNBPL,High Waist Bootcut Denim Jeans for Women & Girls,FREAKINS,0,0,0,"1,499",4.1,32,17,,0,32,
385,385,B09H6T6YNC,Men's Skinny Jeans,Red Tape,0,0,0,"1,109",3.4,5,76,,1,5,https://m.media-amazon.com/images/I/61mGWgmMVgL._AC_UL320_.jpg
386,386,B09Q9C18KX,Men Denim Jeans,Generic,1,0,0,"1,300",0.0,0,13,,1,"₹1,300
₹1,499 Save ₹199 (13%)",
387,387,B07XRCY32Y,Solid Black Coloured Cotton Jeans,blackberrys,1,0,0,"1,799",3.9,4,40,,1,4,
388,388,B07SBYKGFN,Men's Slim Fit Stretchable Fabric Casual Wear Denim Jeans,RAGZO,1,0,0,735,3.5,"1,205",51,,1,"1,205",https://m.media-amazon.com/images/I/81pubJ9B1yL._AC_UL320_.jpg
389,389,B08V9GJVGL,Men's Skinny Jeans,U.S. POLO ASSN.,1,0,0,"1,393",1.0,1,59,,1,1,https://m.media-amazon.com/images/I/91hiv1s4GsL._AC_UL320_.jpg
