,asin,title,brand,Sponsored,Best Seller,Amazon's Choice,Price,Rating,NoofRatings,Discount,Delivery,Prime Delivery,base,image url
0,B09LCT6683,Men's Slim Jeans,Amazon Brand - Symbol,0,0,0,709,2.2,5,65,,1,5,https://m.media-amazon.com/images/I/71ZGe8EE0QL._UY550_.jpg
1,B07LH4GYF8,Men's Slim Fit Jeans,Urbano Fashion,1,0,0,689,3.6,205,54,,1,205,https://m.media-amazon.com/images/I/51+U2t2DE9L._AC_UL320_.jpg
2,B09QKYR129,UP Men's Denim Blend Solid Slim Jeans for Men,UP Online Store,1,0,0,749,5.0,3,53,,1,3,https://m.media-amazon.com/images/I/61UZ+QwpH6S._AC_UL320_.jpg
3,B079HXQ6VN,Men's Stretch Carrot Fit Jeans,Amazon Brand - Symbol,0,0,0,489,3.8,427,77,,0,427,https://m.media-amazon.com/images/I/81Iq6bVmKrL._AC_UL320_.jpg
4,B09Q678N7F,Men's Denim Cotton Relaxed Fit Jeans (Blue),Murqin,1,0,0,645,0.0,0,73,,1,"₹645
₹2,400 Save ₹1,755 (73%)",https://m.media-amazon.com/images/I/41jEFEZYEwL._AC_UL320_.jpg
5,B07MQ8P7TL,Men's Slim Fit Stretchable Jeans,Neostreak,1,0,0,639,3.7,678,71,,1,678,https://m.media-amazon.com/images/I/81rcMJm4kFL._UY550_.jpg
6,B019XSHCG4,Men's Relaxed Jeans,Ben Martin,0,1,0,698,3.7,"3,797",72,,1,"3,797",https://m.media-amazon.com/images/I/616xchp1ECL._AC_UL320_.jpg
7,B08D9T6K5M,Men's Slim Fit Jeans,Urbano Fashion,0,0,0,0,3.6,"1,411",0,,0,"1,411",https://m.media-amazon.com/images/I/71m0W58-zQL._AC_UL320_.jpg
8,B07DFPCD93,Men's Slim Fit Black Stretch Jeans,Urbano Fashion,0,0,0,649,3.7,"3,629",50,,1,"3,629",https://m.media-amazon.com/images/I/611hFiiUv4L._AC_UL320_.jpg
9,B07QX7X134,Men's Regular Fit Stretch Jeans,STUDIO NEXX,0,0,0,619,3.7,"3,634",59,,1,"3,634",https://m.media-amazon.com/images/I/81cEexuuE2L._UX569_.jpg
