,Rank,Probability distn
13,14,"{'B09F6L3W6N': 0.15, 'B09F6KZK1Y': 0.1, 'B0979B7665': 0.1, 'B07DFPCD93': 0.1, 'B0758JYPHF': 0.1, 'B07DMZ9J72': 0.05, 'B085J7164M': 0.05, 'B07QX7X134': 0.05, 'B09QKX4MQQ': 0.05, 'B085FS8ZLL': 0.05, 'B07QBJ7BVW': 0.05, 'B094P1JH99': 0.05, 'B085J74QL5': 0.05, 'B085J79SJC': 0.05}"
14,15,"{'B07SBZ7H6H': 0.15, 'B07CWTXW97': 0.1, 'B085J7FQC3': 0.1, 'B09F6LRB58': 0.1, 'B08NSPYQZF': 0.05, 'B09BVW2LNQ': 0.05, 'B09F6KZK1Y': 0.05, 'B085J7164M': 0.05, 'B07DMZ9J72': 0.05, 'B07QBJ7BVW': 0.05, 'B07QX7X134': 0.05, 'B07HZN78T8': 0.05, 'B07HZFQHT9': 0.05, 'B076CR4HPR': 0.05, 'B09LLHDX59': 0.05}"
15,16,"{'B07DFPCD93': 0.15, 'B07PD5BCWC': 0.1, 'B085J7FQC3': 0.1, 'B0979B7665': 0.05, 'B085J7BK52': 0.05, 'B07CWT3MFK': 0.05, 'B09LCT6683': 0.05, 'B084K8TX4Q': 0.05, 'B09BVWWVB1': 0.05, 'B09F6KZK1Y': 0.05, 'B098L97BWD': 0.05, 'B09BVVJD6X': 0.05, 'B06Y6MHSVR': 0.05, 'B08NTDTWDS': 0.05, 'B09F6L3W6N': 0.05, 'B079HTXCJ9': 0.05}"
16,17,"{'B079HXQ6VN': 0.1, 'B07DMZ9J72': 0.1, 'B06Y6MHSVR': 0.1, 'B07CVLYWSV': 0.1, 'B08NTDTWDS': 0.1, 'B085J7FQC3': 0.1, 'B07CWT3MFK': 0.05, 'B07MXMTW2Z': 0.05, 'B09F6KZK1Y': 0.05, 'B07SBZ7H6H': 0.05, 'B07DFPCD93': 0.05, 'B07QBJ7BVW': 0.05, 'B07CWTXW97': 0.05, 'B07HZFQHT9': 0.05}"
17,18,"{'B085J7BK52': 0.15, 'B09BVW2LNQ': 0.1, 'B0839JYY7C': 0.1, 'B07DMZ9J72': 0.1, 'B085J7164M': 0.05, 'B07SBZ7H6H': 0.05, 'B09BVWWVB1': 0.05, 'B09C2G7CSZ': 0.05, 'B07HZR4V3G': 0.05, 'B07HZR4V3F': 0.05, 'B07QBJ7BVW': 0.05, 'B09LLHDX59': 0.05, 'B06XJ9J4KT': 0.05, 'B07HZN78T8': 0.05, 'B0758JYPHF': 0.05}"
18,19,"{'B085J7BK52': 0.25, 'B07HZN78T8': 0.2, 'B07RJQ2RY2': 0.15, 'B079HXQ6VN': 0.05, 'B09BVXC68X': 0.05, 'B07DMZ9J72': 0.05, 'B07HZR4V3G': 0.05, 'B085J7MM17': 0.05, 'B09LLHDX59': 0.05, 'B094P1JH99': 0.05, 'B07DFPCD93': 0.05}"
19,20,"{'B06Y6MHSVR': 0.2, 'B085J7BK52': 0.1, 'B08NTDTWDS': 0.1, 'B07SBZ7H6H': 0.05, 'B09C2G7CSZ': 0.05, 'B082MFGVGN': 0.05, 'B09BVW2LNQ': 0.05, 'B09MV2LYC2': 0.05, 'B07HZN78T8': 0.05, 'B079HXQ6VN': 0.05, 'B098L97BWD': 0.05, 'B09QKX4MQQ': 0.05, 'B07CVLYWSV': 0.05, 'B07DMZ9J72': 0.05, 'B09F6L3W6N': 0.05}"
20,21,"{'B099JPYXJT': 0.25, 'B07YPQ3GLF': 0.25, 'B08X65LZ3Z': 0.1, 'B07FZ44GB8': 0.05, 'B0767MHDQY': 0.05, 'B09PFT61YT': 0.05, 'B07Q4V5CBT': 0.05, 'B07VGGJWCH': 0.05, 'B07Q9RSWX6': 0.05, 'B085J79G8D': 0.05, 'B07GZWCHFY': 0.05}"
21,22,"{'B07GXJKNBN': 0.1, 'B07VGGJWCH': 0.1, 'B08MQPSHWT': 0.1, 'B09D3BK2HR': 0.05, 'B07QHST1N3': 0.05, 'B092TS4JM5': 0.05, 'B09PFT61YT': 0.05, 'B07VB47B1C': 0.05, 'B0767JDD5X': 0.05, 'B07FYNTXP2': 0.05, 'B09JPFPJTJ': 0.05, 'B09PFT7JMN': 0.05, 'B07GZWCHFY': 0.05, 'B099JPYXJT': 0.05, 'B07YPQ3GLF': 0.05, 'B09GM7JHW7': 0.05, 'B09CH285RK': 0.05}"
22,23,"{'B07VGFW4KH': 0.05, 'B09D3BK2HR': 0.05, 'B07L6Z4NRD': 0.05, 'B07V9N5S5D': 0.05, 'B09PFT61YT': 0.05, 'B09QKX4MQQ': 0.05, 'B084VZZRVH': 0.05, 'B07QHST1N3': 0.05, 'B09Q64SRRM': 0.05, 'B07QYK2ZTV': 0.05, 'B099JF3MMM': 0.05, 'B085J72HNT': 0.05, 'B07MQ8P7TL': 0.05, 'B09NBY5FPN': 0.05, 'B07FYNTXP2': 0.05, 'B08MQPSHWT': 0.05, 'B07GZWCHFY': 0.05, 'B07L6XXSHD': 0.05, 'B07FYNTXNK': 0.05, 'B09D3CPBT8': 0.05}"
23,24,"{'B08MQPSHWT': 0.1, 'B07L715PCG': 0.05, 'B085J72HNT': 0.05, 'B09PFT61YT': 0.05, 'B07L6Z4NRD': 0.05, 'B08MPFTPWH': 0.05, 'B096VZ76KY': 0.05, 'B09N7J8Q97': 0.05, 'B085J7MM17': 0.05, 'B07FYFRPCQ': 0.05, 'B0821S6RJ7': 0.05, 'B07587NBKQ': 0.05, 'B09CH38J9C': 0.05, 'B07PD5BCWC': 0.05, 'B09CH285RK': 0.05, 'B0767KLWYG': 0.05, 'B07DMZ9J72': 0.05, 'B09D3YLV1B': 0.05, 'B07TGQNS25': 0.05}"
24,25,"{'B08NTDTWDS': 0.15, 'B085J7MM17': 0.1, 'B06Y6MHSVR': 0.1, 'B07DMZ9J72': 0.05, 'B09F6KZK1Y': 0.05, 'B07MXMTW2Z': 0.05, 'B09BVW2LNQ': 0.05, 'B085FS8ZLL': 0.05, 'B09BVWWVB1': 0.05, 'B079HXQ6VN': 0.05, 'B07W48KVMV': 0.05, 'B07CVLYWSV': 0.05, 'B07DFPCD93': 0.05, 'B085J7BK52': 0.05, 'B07HZFQHT9': 0.05, 'B07HZN78T8': 0.05}"
25,26,"{'B085J7164M': 0.1, 'B06Y6MHSVR': 0.1, 'B0979B7665': 0.1, 'B0839JYY7C': 0.1, 'B08NTDTWDS': 0.1, 'B07SBZ7H6H': 0.05, 'B09C2G7CSZ': 0.05, 'B07HZN78T8': 0.05, 'B07HZR4V3G': 0.05, 'B09F655D8M': 0.05, 'B079HXQ6VN': 0.05, 'B07HLZ6K4K': 0.05, 'B06XJ9J4KT': 0.05, 'B085J7FQC3': 0.05, 'B07FYG1Z88': 0.05}"
26,27,"{'B07DMZ9J72': 0.2, 'B085J7MM17': 0.15, 'B06XJ9J4KT': 0.15, 'B09BVW2LNQ': 0.1, 'B085J7BK52': 0.1, 'B09LCSLHMP': 0.05, 'B09F6KZK1Y': 0.05, 'B07HZN78T8': 0.05, 'B07PBV5W3K': 0.05, 'B08NTDTWDS': 0.05, 'B09F6LJQ6N': 0.05}"
27,28,"{'B09BVW2LNQ': 0.15, 'B0979B7665': 0.15, 'B098L97BWD': 0.1, 'B07HZR4V3G': 0.1, 'B06Y6MHSVR': 0.1, 'B085J7BK52': 0.1, 'B09C2G7CSZ': 0.05, 'B084K8TX4Q': 0.05, 'B07QBJ7BVW': 0.05, 'B089FNZYG7': 0.05, 'B07DMZ9J72': 0.05, 'B07HLZ6K4K': 0.05}"
28,29,"{'B07DMZ9J72': 0.15, 'B06XJ9J4KT': 0.15, 'B09CH3CQ9P': 0.1, 'B07HZN78T8': 0.1, 'B07MXMTW2Z': 0.1, 'B09BVW2LNQ': 0.1, 'B07SBZ7H6H': 0.05, 'B09C2G7CSZ': 0.05, 'B091734BWL': 0.05, 'B09LLHDX59': 0.05, 'B07HZR4V3G': 0.05, 'B07K32QVZJ': 0.05}"
