,SKU,Sponsored,Best Seller,Amazon's Choice,Price,Rating,NoofRatings,Discount,Delivery,Prime Delivery,linkofproduct
17,"Duracell Rechargeable AAA 750mAh Batteries, 2 Pcs",0,0,0,217,4.3,"62,713",1,"Friday, January 28",1,https://www.amazon.in/Duracell-5000166-Rechargeable-Batteries-Green/dp/B003B0048O/ref=sr_1_18?keywords=battery&qid=1643199099&sr=8-18
18,"Duracell Ultra Alkaline AA Battery, 2 pcs",0,0,0,84,4.4,258,0,"Wednesday, February 2",0,https://www.amazon.in/Duracell-AA-Camera-Battery-Pack/dp/B014SZOISM/ref=sr_1_19?keywords=battery&qid=1643199099&sr=8-19
19,AmazonBasics 9 Volt Everyday Alkaline Batteries (4-Pack),0,0,0,379,4.4,"108,380",37,"Friday, January 28",1,https://www.amazon.in/AmazonBasics-Everyday-Alkaline-Batteries-4-Pack/dp/B0774D64LT/ref=sr_1_20?keywords=battery&qid=1643199099&sr=8-20
20,"AmazonBasics 8 Pack AA Ni-MH Pre-Charged Rechargeable Batteries, 1000 Recharge Cycles (Typical 2000mAh, Minimum 1900mAh) - Packaging May Vary",1,0,0,"1,429",4.3,302,21,"Sunday, January 30",1,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg1_1?ie=UTF8&adId=A0382420DELNRLF1WDBL&url=%2FAmazonBasics-Rechargeable-Batteries-8-Pack-Pre-Charged%2Fdp%2FB078PMSF1X%2Fref%3Dsr_1_21_sspa%3Fkeywords%3Dbattery%26qid%3D1643199099%26sr%3D8-21-spons%26psc%3D1&qualifier=1643199099&id=782154680491075&widgetName=sp_btf
21,AmazonBasics AAA Performance Alkaline Non-Rechargeable Batteries (8-Pack) - Appearance May Vary,1,0,0,199,4.2,"15,087",33,"Monday, January 31",1,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg1_1?ie=UTF8&adId=A00076743T3EOEP0ZD70L&url=%2FAmazonBasics-Performance-Alkaline-Non-Rechargeable-Batteries%2Fdp%2FB00O869QUC%2Fref%3Dsr_1_22_sspa%3Fkeywords%3Dbattery%26qid%3D1643199099%26sr%3D8-22-spons%26psc%3D1&qualifier=1643199099&id=782154680491075&widgetName=sp_btf
22,AmazonBasics AA Performance Alkaline Non-Rechargeable Batteries (48 Count) - Appearance May Vary,1,0,0,"1,269",4.6,"200,071",15,"Friday, January 28",1,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg2_1?ie=UTF8&adId=A0006838FZT0DIRJVNPF&url=%2FAmazonBasics-Performance-Alkaline-Non-rechargeable-Batteries%2Fdp%2FB00MNV8E0C%2Fref%3Dsr_1_17_sspa%3Fkeywords%3Dbattery%26qid%3D1643199739%26sr%3D8-17-spons%26psc%3D1&qualifier=1643199739&id=6201981215797192&widgetName=sp_atf_next
23,AmazonBasics AAA Performance Alkaline Non-rechargeable Batteries (36 Count) - Appearance May Vary,1,0,0,599,4.4,"10,081",14,"Friday, January 28",1,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg2_1?ie=UTF8&adId=A00071743CK6OUMRNSTR&url=%2FAmazonBasics-Performance-Alkaline-Non-rechargeable-Batteries%2Fdp%2FB00LH3DMUO%2Fref%3Dsr_1_18_sspa%3Fkeywords%3Dbattery%26qid%3D1643199739%26sr%3D8-18-spons%26psc%3D1&qualifier=1643199739&id=6201981215797192&widgetName=sp_atf_next
24,"Duracell Ultra Alkaline D Battery, 2 Pcs",0,0,0,275,4.4,"1,313",0,"Friday, January 28",1,https://www.amazon.in/Duracell-Alkaline-Battery-Duralock-Technology/dp/B014SZPBM4/ref=sr_1_19?keywords=battery&qid=1643199739&sr=8-19
25,Energizer Max Alkaline AAA Batteries - Pack of 6,0,0,0,175,4.3,"3,742",0,"Friday, January 28",1,https://www.amazon.in/Energizer-Max-Alkaline-AAA-Batteries/dp/B07Y24GN3H/ref=sr_1_20?keywords=battery&qid=1643199739&sr=8-20
26,"Duracell Alkaline AA Battery Chhota Power, 8 Pcs",0,0,0,183,4.4,186,4,"Sunday, January 30",1,https://www.amazon.in/Duracell-Alkaline-Battery-Chhota-Power/dp/B09689JGC4/ref=sr_1_21?keywords=battery&qid=1643199739&sr=8-21
27,AmazonBasics C Cell Everyday Alkaline Batteries (4-Pack),0,0,0,299,4.2,"73,859",40,"Friday, January 28",1,https://www.amazon.in/AmazonBasics-Everyday-Alkaline-Batteries-4-Pack/dp/B0774LQ8NG/ref=sr_1_17?keywords=battery&qid=1643199739&sr=8-17
28,Eveready AAA Heavy Duty Batteries - 10 Pieces (Red),0,0,0,187,4.3,491,11,"Friday, February 11",0,https://www.amazon.in/Eveready-Alkaline-Batteries-1012-Battery/dp/B00ZRBWPA0/ref=sr_1_18?keywords=battery&qid=1643199739&sr=8-18
29,AmazonBasics D Cell Everyday Alkaline Batteries (4-Pack),0,0,0,379,4.4,"67,090",53,"Friday, January 28",1,https://www.amazon.in/AmazonBasics-Everyday-Alkaline-Batteries-4-Pack/dp/B0774P9G4W/ref=sr_1_19?keywords=battery&qid=1643199739&sr=8-19
30,Energizer E96BP AAAA Alkaline Battery (2 Pieces),0,0,0,149,4.4,"3,924",0,"Monday, January 31",1,https://www.amazon.in/Energizer-E96BP-Alkaline-Battery-Pieces/dp/B0044D9ZI2/ref=sr_1_20?keywords=battery&qid=1643199739&sr=8-20
31,Panasonic Gold Plus AA Batteries (10 Count),0,0,0,0,4.3,161,0,,0,https://www.amazon.in/Panasonic-Gold-Plus-Batteries-Count/dp/B08TBKLVWC/ref=sr_1_21?keywords=battery&qid=1643199739&sr=8-21
