,SKU,Sponsored,Best Seller,Amazon's Choice,Price,Rating,NoofRatings,Discount,Delivery,Prime Delivery,linkofproduct
10,"AmazonBasics Rubber Encased Hex Dumbbell Weight - 10.7 x 4 x 3.5 Inches, 4.5 kg",0,0,0,769,4.5,"2,659",49,"Saturday, January 29",1,https://www.amazon.in/AmazonBasics-Quality-Cast-Iron-Construction-Dumbbell/dp/B074DZ65J3/ref=sr_1_11?crid=18VJ9Z5PXXC5&keywords=Dumbbells+and+weights&qid=1643265205&sprefix=dumbbells+and+weights%2Caps%2C7006&sr=8-11
11,Kore PVC 10-30 Kg Home Gym Set with One 3 Ft Curl and One Pair Dumbbell Rods with Gym Accessories,0,0,0,"1,379",3.5,"25,752",66,"Monday, February 7",1,https://www.amazon.in/Kore-PVC-Home-Gym-Accessories/dp/B089DF1PXS/ref=sr_1_12?crid=18VJ9Z5PXXC5&keywords=Dumbbells+and+weights&qid=1643265205&sprefix=dumbbells+and+weights%2Caps%2C7006&sr=8-12
12,Aurion Weight Plate disc Vinyl Standard Weights Plates Set for Weight Lifting Dumbbell Bars Strength Training Home Gym Fitness Workout(4 KG to 30 kg),0,0,0,199,3.9,"1,392",0,"Sunday, February 6",0,https://www.amazon.in/Aurion-PVC-Weight-Plate-30/dp/B07X3VK7CD/ref=sr_1_13?crid=18VJ9Z5PXXC5&keywords=Dumbbells+and+weights&qid=1643265205&sprefix=dumbbells+and+weights%2Caps%2C7006&sr=8-13
13,"FirstFit Dumbbell Set of 2, Non-Slip, Free Weights Set for Muscle Toning, Strength Building, Weight Loss for Women and Men",0,0,0,299,4.2,6,57,"Wednesday, February 2",1,https://www.amazon.in/FirstFit-Dumbbell-Non-Slip-Strength-Building/dp/B0963CJ4XH/ref=sr_1_14?crid=18VJ9Z5PXXC5&keywords=Dumbbells+and+weights&qid=1643265205&sprefix=dumbbells+and+weights%2Caps%2C7006&sr=8-14
14,Liffo® 15-inch Dumbbell Rod with Plastic Nuts Weight Lifting Bar Black (Pack of 2 Pcs),0,0,0,325,4.1,692,57,"Wednesday, February 2",1,https://www.amazon.in/Liffo-15-inch-Dumbbell-Plastic-Lifting/dp/B08JKBK2KR/ref=sr_1_15?crid=18VJ9Z5PXXC5&keywords=Dumbbells+and+weights&qid=1643265205&sprefix=dumbbells+and+weights%2Caps%2C7006&sr=8-15
15,Kore Home gym & Fitness Kit,0,0,0,849,3.6,"10,446",68,"Monday, February 7",1,https://www.amazon.in/Kore-20-KG-PVC-DM-Dumbbells/dp/B08DS5SC8H/ref=sr_1_16?crid=18VJ9Z5PXXC5&keywords=Dumbbells+and+weights&qid=1643265205&sprefix=dumbbells+and+weights%2Caps%2C7006&sr=8-16
16,Aurion Dumbbell Weight Stand for Home Gym Equipment Workouts Strength Training Only Dumbbell Stand),0,1,0,356,3.0,21,11,"Monday, January 31",0,https://www.amazon.in/Dumbbell-Equipment-Workouts-Strength-Training/dp/B09FZ68ZPF/ref=sr_1_17?crid=18VJ9Z5PXXC5&keywords=Dumbbells+and+weights&qid=1643265205&sprefix=dumbbells+and+weights%2Caps%2C7006&sr=8-17
17,GYM BANDITS 10kg Home Gym Combo 3Ft Straight Rod One Pair Dumbbell Rods PVC Dumbbell Plates Home Gym Kit Weight Plates Fitness Exercise Set,0,0,0,899,0,0,55,"Friday, February 4",0,https://www.amazon.in/GYM-BANDITS-Straight-Dumbbell-Exercise/dp/B09MW2SMMZ/ref=sr_1_18?crid=18VJ9Z5PXXC5&keywords=Dumbbells+and+weights&qid=1643265205&sprefix=dumbbells+and+weights%2Caps%2C7006&sr=8-18
18,"Aurion Dumbbells (Boxed in Pair) (Choose of 1KG, 2KG, 3KG, 4KG, 5KG,6 KG) for Home Gym Exercise, Fitness and Weights for Women and Men Dumbbells Set",0,0,0,527,3.8,"8,257",47,"Sunday, February 6",1,https://www.amazon.in/AURION-Oval-Dumbbell-KG-Dumbbells/dp/B07R4RHZ9J/ref=sr_1_19?crid=18VJ9Z5PXXC5&keywords=Dumbbells+and+weights&qid=1643265205&sprefix=dumbbells+and+weights%2Caps%2C7006&sr=8-19
19,"CORSO PVC Dumbbell Plates Home Gym Combo (8Kg to 20 Kg), PVC Dumbbell Set, PVC Dumbbell Plates, Adjustable Dumbbells, Weight Plates, Home Gym Equipments for Men, Exercise Set",0,0,0,549,0,0,57,"Thursday, February 3",1,https://www.amazon.in/CORSO-Dumbbell-Adjustable-Dumbbells-Equipments/dp/B09K1LZSK4/ref=sr_1_20?crid=18VJ9Z5PXXC5&keywords=Dumbbells+and+weights&qid=1643265205&sprefix=dumbbells+and+weights%2Caps%2C7006&sr=8-20
20,Klikfit Rubber Coated Professional Round Dumbbells,1,0,0,999,4.3,"1,050",60,"Tuesday, February 1",1,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A07536961TW5JAHU1EZC0&url=%2FKlikfit-Rubber-Dumbbells-Black-2-5kg%2Fdp%2FB08BJ1GHBT%2Fref%3Dsr_1_21_sspa%3Fcrid%3D18VJ9Z5PXXC5%26keywords%3DDumbbells%2Band%2Bweights%26qid%3D1643265205%26smid%3DA7NVX04ONGOB9%26sprefix%3Ddumbbells%2Band%2Bweights%252Caps%252C7006%26sr%3D8-21-spons%26psc%3D1&qualifier=1643265205&id=4441125105797304&widgetName=sp_mtf
21,Aurion Set of 2 PVC Dumbbells Weights Fitness Home Gym Exercise Barbell (Pack of 2) Light Heavy for Women & Men’s Dumbbell,1,0,0,249,4.0,"17,093",58,"Tuesday, February 1",0,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A04133603JD2YTV6MRJ8T&url=%2FAurion-Matrix2-Plastic-Dumbell-Multicolour%2Fdp%2FB00YA25572%2Fref%3Dsr_1_22_sspa%3Fcrid%3D18VJ9Z5PXXC5%26keywords%3DDumbbells%2Band%2Bweights%26qid%3D1643265205%26sprefix%3Ddumbbells%2Band%2Bweights%252Caps%252C7006%26sr%3D8-22-spons%26psc%3D1&qualifier=1643265205&id=4441125105797304&widgetName=sp_mtf
22,"Aurion Dumbbells (Boxed in Pair) (Choose of 1KG, 2KG, 3KG, 4KG, 5KG,6 KG) for Home Gym Exercise, Fitness and Weights for Women and Men Dumbbells Set",1,0,0,424,3.8,"8,257",47,"Sunday, February 6",0,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A00002501FRQ228VB664X&url=%2FAurion-PVC-Plastic-Dumbell-Blue%2Fdp%2FB07DHMDYBS%2Fref%3Dsr_1_23_sspa%3Fcrid%3D18VJ9Z5PXXC5%26keywords%3DDumbbells%2Band%2Bweights%26qid%3D1643265205%26sprefix%3Ddumbbells%2Band%2Bweights%252Caps%252C7006%26sr%3D8-23-spons%26psc%3D1&qualifier=1643265205&id=4441125105797304&widgetName=sp_mtf
