,Unnamed: 0,Unnamed: 0.1,Rank,asin,title,brand,Sponsored,Best Seller,Amazon's Choice,Price,Rating,NoofRatings,Discount,Delivery,Prime Delivery,base,image url,cat,Description,A-Description
356,356,356,356,B09P6N4TM5,Ajanta Designer MDF Wooden 35x43 cm Lord Krishna and Peacock Wall Clock for Home and Office Blue Color,Ajanta,0,0,0,599,3.8,9,40,"Saturday, February 19",1,9,https://m.media-amazon.com/images/I/91uDikfkcWL._SX425_.jpg,Wall clock_A1,"<img class=""alignnone  wp-image-20196"" src=""http://65.0.75.99/wp-content/uploads/2022/05/prime-delivery-1.jpg"" alt="""" width=""57"" height=""24"" /></span>
",SKU: B09P6N4TM5
357,357,357,357,B095Z2XM2G,"ANTIQUE Plastic Round Shape Wall Clock with Glass (Black Frame, 12.5-inch)",ANTIQUE,0,0,0,348,3.9,38,76,"Saturday, February 19",0,38,https://m.media-amazon.com/images/I/91PyhgLvrkL._AC_UL320_.jpg,Wall clock_A1,,SKU: B095Z2XM2G
358,358,358,358,B07MZPXF8K,"Smera Plastic Abstract Wall Clock (20.5 x 20.5 cm, Brown)",Smera,0,0,0,299,3.3,21,57,"Saturday, February 19",0,21,https://m.media-amazon.com/images/I/81RtZTPvb1L._SY355_.jpg,Wall clock_A1,,SKU: B07MZPXF8K
359,359,359,359,B07PWQFGQR,"AmazonBasics Numbered Plastic Wall Clock - 12 inches, Black",AmazonBasics,0,0,0,669,4.2,709,44,"Sunday, February 20",1,709,https://m.media-amazon.com/images/I/71vaznXf17L._SY355_.jpg,Wall clock_A1,"<img class=""alignnone  wp-image-20196"" src=""http://65.0.75.99/wp-content/uploads/2022/05/prime-delivery-1.jpg"" alt="""" width=""57"" height=""24"" /></span>
",SKU: B07PWQFGQR
360,360,360,360,B09MM9FKPB,"Naturel 10 inch Round Shaped Printed Wall Clock with Glass for Home/Living Room/Bedroom/Kitchen/Office-Black Print (Black Frame,24 cm x 24 cm x 3.5 cm)",Naturel,0,0,0,349,3.0,2,74,"Tuesday, February 22",0,2,https://m.media-amazon.com/images/I/81b-szBTesL._SX425_.jpg,Wall clock_A1,,SKU: B09MM9FKPB
361,361,361,361,B07TWXBVMG,"LYONIC Beautiful Royal Look Roman Numbered Big Size Sweep & Silent Wall Clock for Home,Hall,Office (35 X 35 cm Color - WoodCooper) Made in India",LYONIC,0,0,0,790,3.8,15,47,"Saturday, February 19",1,15,https://m.media-amazon.com/images/I/A1DVKfFtRBL._AC_UL320_.jpg,Wall clock_A1,"<img class=""alignnone  wp-image-20196"" src=""http://65.0.75.99/wp-content/uploads/2022/05/prime-delivery-1.jpg"" alt="""" width=""57"" height=""24"" /></span>
",SKU: B07TWXBVMG
362,362,362,362,B09BFYLZTV,ROYAL STEP DIY Wall Clock with Frameless 3D Mirror Surface Decorative Adhesive Stickers for Home Living Room Office Wall Decoration (Gold),ROYAL,0,0,0,599,3.2,31,74,"Sunday, February 20",1,31,https://m.media-amazon.com/images/I/61XUJZXjSOL._SY355_.jpg,Wall clock_A1,"<img class=""alignnone  wp-image-20196"" src=""http://65.0.75.99/wp-content/uploads/2022/05/prime-delivery-1.jpg"" alt="""" width=""57"" height=""24"" /></span>
",SKU: B09BFYLZTV
363,363,363,363,B09JSWDZVT,Naturel Plastic Round Shape Printed FloweTree Design Wall Clock with Black Frame (24 cm x 24 cm x 3.5 cm) (1066),Naturel,0,0,0,329,5.0,5,75,"Tuesday, February 22",0,5,https://m.media-amazon.com/images/I/81J7MjNtfBL._AC_UL320_.jpg,Wall clock_A1,,SKU: B09JSWDZVT
364,364,364,364,B09QQ2KW4S,XIPRA 12 Inch Surya Wooden Look Plastic Wall Clock for Home & Office (Maroon),XIPRA,0,0,0,499,5.0,1,50,"Saturday, February 19",1,1,https://m.media-amazon.com/images/I/71R4vVcGNJL._AC_UL320_.jpg,Wall clock_A1,"<img class=""alignnone  wp-image-20196"" src=""http://65.0.75.99/wp-content/uploads/2022/05/prime-delivery-1.jpg"" alt="""" width=""57"" height=""24"" /></span>
",SKU: B09QQ2KW4S
365,365,365,365,B09NMDH475,"Gift Lena Unique Wooden Personalized/Customized Wall Clock Photo Frames with Message (14x14 inch) for Couple,Birthday Gifts for Girlfriend , Wife , Boyfriend , Husband , Parents 48",Gift,0,0,0,695,0.0,0,65,"Tuesday, February 22",0,"₹695
₹1,999 Save ₹1,304 (65%)",https://m.media-amazon.com/images/I/71G0jWWwhRL._AC_UL320_.jpg,Wall clock_A1,,SKU: B09NMDH475
