,Rank,Probability distn
22,23,"{'B09GBC73JL': 0.15, 'B0929P7NT1': 0.15, 'B07G3H1LTZ': 0.1, 'B00JDACK3S': 0.1, 'B09K5LBLFF': 0.05, 'B07P7ZWQMZ': 0.05, 'B09L4TJ9SM': 0.05, 'B098KGQC7M': 0.05, 'B07SLNFPD7': 0.05, 'B09QJMKNW5': 0.05, 'B0868S19CD': 0.05, 'B01IQYNO8G': 0.05, 'B089NZK496': 0.05, 'B07DDCHX38': 0.05}"
23,24,"{'B08WX2YLNZ': 0.1, 'B07DDCHX38': 0.1, 'B08YWL3QG5': 0.05, 'B07P5XM6GL': 0.05, 'B098KGQC7M': 0.05, 'B0993Z5HQ5': 0.05, 'B07F5QVYN8': 0.05, 'B09CGHYTNG': 0.05, 'B09K5LBLFF': 0.05, 'B07P94WPV1': 0.05, 'B09GBC73JL': 0.05, 'B07G3H1LTZ': 0.05, 'B07VMQCW9R': 0.05, 'B01IQYNO8G': 0.05, 'B09GBB5B1L': 0.05, 'B0869NL6G9': 0.05, 'B09QHNHTBR': 0.05, 'B09HKW1SCT': 0.05}"
24,25,"{'B07NJJ7LDK': 0.3, 'B00MIYM0VS': 0.1, 'B077Z99BP2': 0.1, 'B01IVBR4Y4': 0.1, 'B0929P7NT1': 0.1, 'B09GBDZDJR': 0.05, 'B09BP2M4SM': 0.05, 'B08Y2HRDK7': 0.05, 'B01BSY2ZTU': 0.05, 'B07F5SHD5H': 0.05, 'B092R2BD2D': 0.05}"
25,26,"{'B079RJNJVR': 0.15, 'B07NJJ7LDK': 0.15, 'B07F5SHBBP': 0.1, 'B077Z99BP2': 0.1, 'B00N3L3XB6': 0.1, 'B07F5SHD5H': 0.1, 'B01IVBR4Y4': 0.1, 'B07THZR677': 0.1, 'B01BSY2ZTU': 0.05, 'B081L3JP9V': 0.05}"
26,27,"{'B09BP2M4SM': 0.2, 'B077Z99BP2': 0.1, 'B07THZR677': 0.1, 'B08Y2HRDK7': 0.1, 'B00N3L3XB6': 0.1, 'B092R2BD2D': 0.05, 'B079RJNJVR': 0.05, 'B07F5SHD5H': 0.05, 'B09GBDZDJR': 0.05, 'B0929P7NT1': 0.05, 'B07NJJ7LDK': 0.05, 'B01IVBR4Y4': 0.05, 'B08RXXMFVX': 0.05}"
27,28,"{'B01IVBR4Y4': 0.15, 'B0929P7NT1': 0.15, 'B09BP2M4SM': 0.1, 'B077Z99BP2': 0.1, 'B07THZR677': 0.1, 'B0993Z5HQ5': 0.05, 'B09GBDZDJR': 0.05, 'B07F5SHD5H': 0.05, 'B01BSY2ZTU': 0.05, 'B081L3JP9V': 0.05, 'B092R2BD2D': 0.05, 'B07VQXXF95': 0.05, 'B00MIYM0VS': 0.05}"
28,29,"{'B07THZR677': 0.2, 'B07F5SHBBP': 0.15, 'B01IVBR4Y4': 0.15, 'B07F5SHD5H': 0.1, 'B081L3JP9V': 0.1, 'B0993Z5HQ5': 0.05, 'B09GBDZDJR': 0.05, 'B08RXXMFVX': 0.05, 'B01BSY2ZTU': 0.05, 'B09BP2M4SM': 0.05, 'B07TVD8183': 0.05}"
29,30,"{'B07THZR677': 0.2, 'B01IVBR4Y4': 0.15, 'B01BSY2ZTU': 0.15, 'B07F5SHD5H': 0.1, 'B09GBDZDJR': 0.05, 'B092R2BD2D': 0.05, 'B09BP2M4SM': 0.05, 'B06Y51F9VQ': 0.05, 'B0993Z5HQ5': 0.05, 'B081L3JP9V': 0.05, 'B07TVD8183': 0.05, 'B07F5SHBBP': 0.05}"
30,31,"{'B09BP2M4SM': 0.25, 'B07THZR677': 0.15, 'B092R2BD2D': 0.15, 'B08RXXMFVX': 0.1, 'B081L3JP9V': 0.1, 'B01BYBU24W': 0.1, 'B07F5SHBBP': 0.05, 'B098KGQC7M': 0.05, 'B01BSY2ZTU': 0.05}"
31,32,"{'B0993Z5HQ5': 0.25, 'B081L3JP9V': 0.2, 'B092R2BD2D': 0.1, 'B09BP2M4SM': 0.1, 'B098KGQC7M': 0.05, 'B07TVD8183': 0.05, 'B07THZR677': 0.05, 'B09QJMKNW5': 0.05, 'B07P7ZWQMZ': 0.05, 'B08RXXMFVX': 0.05, 'B01BSY2ZTU': 0.05}"
32,33,"{'B092R2BD2D': 0.25, 'B01BYBU24W': 0.15, 'B098KGQC7M': 0.1, 'B08RXXMFVX': 0.1, 'B09QJMKNW5': 0.05, 'B07THZR677': 0.05, 'B0993Z5HQ5': 0.05, 'B07TVD8183': 0.05, 'B081L3JP9V': 0.05, 'B09QL6T3SQ': 0.05, 'B07MKV12KZ': 0.05, 'B01BSY2ZTU': 0.05}"
33,34,"{'B08RXXMFVX': 0.25, 'B098KGQC7M': 0.2, 'B0993Z5HQ5': 0.15, 'B092R2BD2D': 0.1, 'B09CDQB2GH': 0.05, 'B07P7ZWQMZ': 0.05, 'B081L3JP9V': 0.05, 'B09N9DPFLL': 0.05, 'B09QJMKNW5': 0.05, 'B00N3L3XB6': 0.05}"
34,35,"{'B098KGQC7M': 0.2, 'B0993Z5HQ5': 0.2, 'B01BYBU24W': 0.15, 'B09BG23RC3': 0.05, 'B01IVBR4Y4': 0.05, 'B09MTPSTS3': 0.05, 'B09737VNLZ': 0.05, 'B07P94WPV1': 0.05, 'B07P7ZWQMZ': 0.05, 'B09PVDZMG7': 0.05, 'B09GBDZDJR': 0.05, 'B07TVD8183': 0.05}"
35,36,"{'B09QJMKNW5': 0.15, 'B07TVD8183': 0.1, 'B098KGQC7M': 0.1, 'B08RXXMFVX': 0.1, 'B09737VNLZ': 0.1, 'B0993Z5HQ5': 0.1, 'B09CDQB2GH': 0.1, 'B09BG23RC3': 0.05, 'B07P94WPV1': 0.05, 'B07P7ZWQMZ': 0.05, 'B08Y5LS5QY': 0.05, 'B09N9DPFLL': 0.05}"
36,37,"{'B098KGQC7M': 0.15, 'B09BG23RC3': 0.1, 'B0993Z5HQ5': 0.1, 'B09RMVLCCY': 0.05, 'B08RXXMFVX': 0.05, 'B07P94V9NY': 0.05, 'B09CDQB2GH': 0.05, 'B07TVD8183': 0.05, 'B09QJMKNW5': 0.05, 'B09737VNLZ': 0.05, 'B07P7ZWQMZ': 0.05, 'B09R7R3563': 0.05, 'B07CTH87CJ': 0.05, 'B099WDS7H9': 0.05, 'B09NMJSQFD': 0.05, 'B07MKV12KZ': 0.05}"
37,38,"{'B09CDQB2GH': 0.15, 'B09RQ4B4S3': 0.05, 'B09QMHFL82': 0.05, 'B09BG23RC3': 0.05, 'B08RXXMFVX': 0.05, 'B09QL6T3SQ': 0.05, 'B09MW641CQ': 0.05, 'B07P7ZWQMZ': 0.05, 'B098KGQC7M': 0.05, 'B097SXZQ6D': 0.05, 'B0971JY5YD': 0.05, 'B093SHGWD5': 0.05, 'B07P5XN4KZ': 0.05, 'B09N9DPFLL': 0.05, 'B09QJMKNW5': 0.05, 'B092JPJDK7': 0.05, 'B099WDS7H9': 0.05, 'B01BYBU24W': 0.05}"
38,39,"{'B00R9FROVC': 0.15, 'B09BG23RC3': 0.1, 'B07P5XN4S1': 0.1, 'B09QL6T3SQ': 0.1, 'B09RNDBVLB': 0.05, 'B07T1MC75M': 0.05, 'B09CDQB2GH': 0.05, 'B09BG1S5SZ': 0.05, 'B09QJMKNW5': 0.05, 'B07K2L5RFJ': 0.05, 'B07P7ZWQMZ': 0.05, 'B0971GJ915': 0.05, 'B09PVDZMG7': 0.05, 'B08D7PR6QP': 0.05, 'B08LDVRW4R': 0.05}"
39,40,"{'B0971GJ915': 0.15, 'B09BG23RC3': 0.1, 'B09QFWLM6D': 0.1, 'B09PTK7GBS': 0.1, 'B09R7R32F7': 0.05, 'B07TVD8183': 0.05, 'B09RGHZCG6': 0.05, 'B09QMHFL82': 0.05, 'B09RQ4B4S3': 0.05, 'B09737VNLZ': 0.05, 'B08MPYW7B8': 0.05, 'B09HXV53LQ': 0.05, 'B00R9FROVC': 0.05, 'B08X13PL86': 0.05, 'B08P3QTB3S': 0.05}"
