,asin,title,brand,Sponsored,Best Seller,Amazon's Choice,Price,Rating,NoofRatings,Discount,Delivery,Prime Delivery,base,image url
0,B01LP0VI3G,AmazonBasics 13mm Extra Thick Yoga and Exercise Mat with Carrying Strap,AmazonBasics,0,1,0,"1,049",4.2,"12,872",34,"Thursday, February 10",1,"12,872",https://m.media-amazon.com/images/I/71H8ypSYBtL._AC_UL320_.jpg
1,B07MNL598L,"Boldfit Yoga mat for Women and Men with Cover Bag TPE Material 6mm Extra Thick Exercise mat for Workout Yoga Fitness Pilates and Meditation, Anti Tear Anti Slip",Boldfit,1,0,0,"1,899",4.3,"1,159",24,"Thursday, February 10",1,"1,159",https://m.media-amazon.com/images/I/61eS3QyId+L._AC_UL320_.jpg
2,B097L8H5KK,"SOLARA Premium Yoga Mats for Men Large, Eco Friendly Non Slip Yoga Mat for Men 6 feet, Non Slip Surface and Optimal Cushioning,72""x 26"" | eBook and 50 videos included |",SOLARA,1,0,0,"1,849",4.5,586,26,"Friday, February 11",0,586,https://m.media-amazon.com/images/I/711Ny02SUYL._AC_UL320_.jpg
3,B01LP0V4JY,AmazonBasics 13mm Extra Thick Yoga and Exercise Mat with Carrying Strap,AmazonBasics,0,0,0,745,4.2,"23,052",53,"Thursday, February 10",1,"23,052",https://m.media-amazon.com/images/I/71yiGkTuuIL._AC_UL320_.jpg
4,B09491R2JP,VIFITKIT 6MM Premium Yoga Mat with Free Carrying Bag & Strap for Home Gym and Outdoor Workout with Free Skipping Rope (Made in India),VIFITKIT,0,0,0,529,3.8,574,71,"Sunday, February 13",1,574,https://m.media-amazon.com/images/I/51CEzvDA2XL._AC_UL320_.jpg
5,B09RPVFWHW,"Boldfit Yoga mat for Women and Men with Cover Bag EVA Material exercise mat for Workout Yoga Fitness Pilates and Meditation, Anti Tear Anti Slip For Home & Gym Use",Boldfit,1,1,0,499,4.2,"2,282",0,"Tuesday, February 15",1,"2,282",https://m.media-amazon.com/images/I/81SXMXvPKWS._AC_UL320_.jpg
6,B08LZXKQR5,"OJS ® EVA Yoga Mat with Carrying Bag for Gym Workout and Yoga Exercise with 6mm Thickness, Anti-Slip Yoga Mat for Men & Women Fitness (Made in India)",OJS,0,1,0,499,3.9,"6,445",38,"Sunday, February 13",1,"6,445",https://m.media-amazon.com/images/I/61GLWNsUA2L._AC_UL320_.jpg
7,B09MS1GXKF,"FIT FOUR ® Yoga MAT for Men and Women with 4-MM Anti-Slip, Light Weight, Extra Large Made by EVA Quality for Men & Women Gym Workout and Yoga Exercise with Shoulder Strap (Qnty-1 Pcs)",FIT,0,0,0,299,3.7,94,81,"Tuesday, February 15",1,94,https://m.media-amazon.com/images/I/61ItnCqZ6gL._AC_UL320_.jpg
8,B08D6PCPP2,VIFITKIT Yoga & Exercise Mat for Gym Workout and Flooring Exercise Long Size 4 mm Yoga mat with Bag for Men & Women (Made in India)…,VIFITKIT,0,0,0,399,3.9,"15,253",73,,0,"15,253",https://m.media-amazon.com/images/I/61vn9INsgQL._AC_UL320_.jpg
9,B014PIGK92,Strauss Yoga Mat,Strauss,0,1,0,499,3.9,"10,557",62,"Thursday, February 10",1,"10,557",https://m.media-amazon.com/images/I/71NmOeS1lfL._AC_UL320_.jpg
10,B08C4NFW7L,Roseate Yoga Mat 4MM Large with Free Skipping Rope & Carrying Bag High Density Anti-Skid for Men & Women Fitness Flooring Workout Sweat Proof for Gym/Home/Outdoor Workout,Roseate,0,0,0,499,3.8,"4,165",75,"Tuesday, February 15",1,"4,165",https://m.media-amazon.com/images/I/71sQrVz3lHL._AC_UL320_.jpg
11,B09MFCTXWH,"FIT FOUR ® Yoga MAT for Men and Women with 6-MM Anti-Slip, Light Weight, Extra Large Made by EVA Quality for Men & Women Gym Workout and Yoga Exercise with Shoulder Strap (Qnty-1 Pcs)",FIT,0,0,1,369,4.0,45,78,"Tuesday, February 15",1,45,https://m.media-amazon.com/images/I/610PQckk-dL._AC_UL320_.jpg
