Rank,asin,title,brand,Sponsored,Best Seller,Amazon's Choice,Price,Rating,NoofRatings,Discount,Delivery,Prime Delivery,base,image url,cat,Description,A-Description
13,B0824ZFCDN,"Milton Copper Charge 1000 Water Bottle, Set of 1, 960 ml, Copper,Brown",Milton,0,0,0,799,3.9,"8,594",22,"Thursday, February 17",1,"8,594",https://m.media-amazon.com/images/I/61+CDBo-phL._AC_UL320_.jpg,Water bottle,"Milton Copper Charge 1000 Water Bottle, Set of 1, 960 ml, Copper,Brown",SKU: B0824ZFCDN
14,B07TVD8183,"ALTERIA 1.5 L Sports Water/Protein Gallon BPA Free Bottle with Mixer Ball and Strainer (Unbreakable, Freezer Safe)(Black), Plastic, Set of 1 Piece",ALTERIA,0,0,0,227,4.3,620,68,"Saturday, February 19",1,620,https://m.media-amazon.com/images/I/41Zb2CES-FL._AC_UL320_.jpg,Water bottle,"ALTERIA 1.5 L Sports Water/Protein Gallon BPA Free Bottle with Mixer Ball and Strainer (Unbreakable, Freezer Safe)(Black), Plastic, Set of 1 Piece",SKU: B07TVD8183
15,B00MIYM0VS,"Milton Thermosteel Flip Lid Flask, 1000 milliliters, Silver",Milton,0,1,0,964,4.3,"74,123",3,"Saturday, February 19",1,"74,123",https://m.media-amazon.com/images/I/71m0Y6DnnIL._AC_UL320_.jpg,Water bottle,"Milton Thermosteel Flip Lid Flask, 1000 milliliters, Silver",SKU: B00MIYM0VS
16,B077Z99BP2,"Cello Sportigo Plastic Bottle Set, 1 Litre, Set of 2, Assorted",Cello,0,0,0,349,4.3,"3,611",3,"Saturday, February 19",1,"3,611",https://m.media-amazon.com/images/I/71ydpWFY-gL._AC_UL320_.jpg,Water bottle,"Cello Sportigo Plastic Bottle Set, 1 Litre, Set of 2, Assorted",SKU: B077Z99BP2
17,B00N3L3XB6,"Cello Swift Stainless Steel Double Walled Flask, Hot and Cold, 1000ml, 1pc, Silver",Cello,0,0,0,949,4.3,"9,361",28,"Wednesday, February 16",1,"9,361",https://m.media-amazon.com/images/I/61V+q5z6sIL._AC_UL320_.jpg,Water bottle,"Cello Swift Stainless Steel Double Walled Flask, Hot and Cold, 1000ml, 1pc, Silver",SKU: B00N3L3XB6
18,B07NJJ7LDK,"Milton Super 1000 Single Wall Stainless Steel Bottle, 1000 ml, Silver,Set of 1",Milton,0,0,0,380,3.9,"6,599",14,"Thursday, February 17",0,"6,599",https://m.media-amazon.com/images/I/61m9tTS9aLL._AC_UL320_.jpg,Water bottle,"Milton Super 1000 Single Wall Stainless Steel Bottle, 1000 ml, Silver,Set of 1",SKU: B07NJJ7LDK
19,B0929P7NT1,"Amazon Brand - Solimo Stainless Steel Water Bottle, Set of 3, 1 L Each (Blitz)",Amazon,0,0,0,749,4,203,25,"Wednesday, February 16",1,203,https://m.media-amazon.com/images/I/81mrMggUQnS._AC_UL320_.jpg,Water bottle,"Amazon Brand - Solimo Stainless Steel Water Bottle, Set of 3, 1 L Each (Blitz)",SKU: B0929P7NT1
20,B01IVBR4Y4,"Cello H2O Unbreakable Plastic Bottle Set, 1 Litre, Set of 6, Multicolour",Cello,0,0,0,629,4.4,"6,014",38,"Friday, February 18",1,"6,014",https://m.media-amazon.com/images/I/61mu7OP5oQL._AC_UL320_.jpg,Water bottle,"Cello H2O Unbreakable Plastic Bottle Set, 1 Litre, Set of 6, Multicolour",SKU: B01IVBR4Y4
21,B07F5SHD5H,"Cello H2O Stainless Steel Water Bottle, 1 Litre, Blue",Cello,0,0,0,449,4.1,"5,683",7,"Sunday, February 20",0,"5,683",https://m.media-amazon.com/images/I/61nb1cWMOiL._SX425_.jpg,Water bottle,"Cello H2O Stainless Steel Water Bottle, 1 Litre, Blue",SKU: B07F5SHD5H
22,B07THZR677,"Cello Puro Steel-X Benz Stainless Steel Water Bottle with Inner Steel and Outer Plastic , 900 ml (Black)",Cello,0,0,0,425,3.5,"3,664",13,"Wednesday, February 16",0,"3,664",https://m.media-amazon.com/images/I/51L0b7NLiBL._AC_UL320_.jpg,Water bottle,"Cello Puro Steel-X Benz Stainless Steel Water Bottle with Inner Steel and Outer Plastic , 900 ml (Black)",SKU: B07THZR677
