Rank,asin,title,brand,Sponsored,Best Seller,Amazon's Choice,Price,Rating,NoofRatings,Discount,Delivery,Prime Delivery,base,image url,cat,Description,A-Description
138,B09CMVSQL2,"LG 10 kg 5 Star Semi-Automatic Top Loading Washing Machine (P1050SRAZ, Burgundy, Wind Jet Dry), Large",LG,0,0,0,0,4.4,87,0,,0,87,https://m.media-amazon.com/images/I/61Xjjzawt-L._AC_UL320_.jpg,Washing machine,"LG 10 kg 5 Star Semi-Automatic Top Loading Washing Machine (P1050SRAZ, Burgundy, Wind Jet Dry), Large",SKU: B09CMVSQL2
139,B09KGW3NWL,"Samsung 8 Kg Inverter 5 Star Fully-Automatic Front Loading Washing Machine (WW80T4040CE1TL, White, Hygiene Steam)",Samsung,0,0,0,"34,990",5,1,11,"Tue, 15 Feb, 7:00 am - 9:00 pm",0,1,https://m.media-amazon.com/images/I/61Qt1PoCbrL._AC_UL320_.jpg,Washing machine,"Samsung 8 Kg Inverter 5 Star Fully-Automatic Front Loading Washing Machine (WW80T4040CE1TL, White, Hygiene Steam)",SKU: B09KGW3NWL
140,B08D3WJG5B,"Godrej 8 Kg 5 Star Semi-Automatic Top Loading Washing Machine (WSEDGE ULT 80 5.0 DB2M CSBK, Crystal Black, Tri-Roto Scrub Pulsator)",Godrej,0,0,0,"15,177",4.3,188,13,"Thu, 17 Feb, 7:00 am - 9:00 pm",0,188,https://m.media-amazon.com/images/I/51Lnv1FUayS._AC_UL320_.jpg,Washing machine,"Godrej 8 Kg 5 Star Semi-Automatic Top Loading Washing Machine (WSEDGE ULT 80 5.0 DB2M CSBK, Crystal Black, Tri-Roto Scrub Pulsator)",SKU: B08D3WJG5B
141,B08D7RWNWK,"Voltas Beko 8.5 kg Semi-Automatic Top Loading Washing Machine, 2 Casette Filter (WTT85DBLT, Sky Blue)",Voltas,0,0,0,0,4.1,11,0,,0,11,https://m.media-amazon.com/images/I/616LAzJqB0L._SX466_.jpg,Washing machine,"Voltas Beko 8.5 kg Semi-Automatic Top Loading Washing Machine, 2 Casette Filter (WTT85DBLT, Sky Blue)",SKU: B08D7RWNWK
142,B091FPXVHT,"Samsung 9.5kg Semi Automatic Top Loading Washing Machine (WT95A4200LL, Blue)",Samsung,0,0,0,0,4.2,36,0,,0,36,https://m.media-amazon.com/images/I/71UveR4W0fS._AC_UL320_.jpg,Washing machine,"Samsung 9.5kg Semi Automatic Top Loading Washing Machine (WT95A4200LL, Blue)",SKU: B091FPXVHT
143,B09FTHYDY7,"LG 9Kg 5 Star Washing Machine Spin 6.5Kg, Rust Free Body, Roller Jet Pulsator, Wind Jet Dry, Grey, P9041SGAZ",LG,0,0,0,0,5,6,0,,0,6,https://m.media-amazon.com/images/I/51yPbonQTwL._AC_UL320_.jpg,Washing machine,"LG 9Kg 5 Star Washing Machine Spin 6.5Kg, Rust Free Body, Roller Jet Pulsator, Wind Jet Dry, Grey, P9041SGAZ",SKU: B09FTHYDY7
144,B0886P9T5N,"Haier 8.5 Kg Semi-Automatic Top Loading Washing Machine (HTW85-178, Red Roses)",Haier,0,0,0,0,4.2,29,0,,0,29,https://m.media-amazon.com/images/I/717ALHi+EOL._SX466_.jpg,Washing machine,"Haier 8.5 Kg Semi-Automatic Top Loading Washing Machine (HTW85-178, Red Roses)",SKU: B0886P9T5N
145,B08KTKH5K4,"Samsung 6.5 Kg Fully-Automatic Top Loading Washing Machine (WA65A4022FS/TL, Imperial Silver, Wobble technology)",Samsung,0,0,0,"15,180",4.3,95,15,"Tue, 15 Feb, 7:00 am - 9:00 pm",0,95,https://m.media-amazon.com/images/I/51H457+z-8L._AC_UL320_.jpg,Washing machine,"Samsung 6.5 Kg Fully-Automatic Top Loading Washing Machine (WA65A4022FS/TL, Imperial Silver, Wobble technology)",SKU: B08KTKH5K4
146,B08N4YNTNW,"VENUS Handy Washing Machine (Grey, Standard, 166x150x420 mm)",VENUS,0,0,0,"2,810",3.7,17,5,"Saturday, February 19",0,17,https://m.media-amazon.com/images/I/315WU9kE0rL._SX466_.jpg,Washing machine,"VENUS Handy Washing Machine (Grey, Standard, 166x150x420 mm)",SKU: B08N4YNTNW
147,B09BVLTBH1,,,0,0,0,0,0,0,0,,0,,https://m.media-amazon.com/images/I/31CDUmSJIPL._AC_UL320_.jpg,Washing machine,nan,SKU: B09BVLTBH1
148,B09HCKK684,Venus Handy Washing Machine,Venus,0,0,0,"1,999",0,0,50,"Sunday, February 20",0,"₹1,999
₹3,999 Save ₹2,000 (50%)",https://m.media-amazon.com/images/I/21Okqco5ohL.jpg,Washing machine,Venus Handy Washing Machine,SKU: B09HCKK684
149,B08HNW5CS9,"IFB 6.5 Kg 5 Star Fully-Automatic Top Loading Washing Machine (REWH AQUA, White, Inbuilt Heater, 3D Wash Technology)",IFB,0,0,0,0,4.3,"1,545",0,,0,"1,545",https://m.media-amazon.com/images/I/51+64zsH1RL._AC_UL320_.jpg,Washing machine,"IFB 6.5 Kg 5 Star Fully-Automatic Top Loading Washing Machine (REWH AQUA, White, Inbuilt Heater, 3D Wash Technology)",SKU: B08HNW5CS9
150,B082GFNRKM,"Haier 6.5 Kg Fully-Automatic Top Loading Washing Machine (HWM65-826NZP, Moonlight Grey)",Haier,0,0,0,"15,999",4.7,27,36,"Tue, 15 Feb, 7:00 am - 9:00 pm",0,27,https://m.media-amazon.com/images/I/7174h8qYIKL._SX466_.jpg,Washing machine,"Haier 6.5 Kg Fully-Automatic Top Loading Washing Machine (HWM65-826NZP, Moonlight Grey)",SKU: B082GFNRKM
151,B07WHLQYJG,"IFB 6 Kg 5 Star Fully-Automatic Front Loading Washing Machine (EVA ZX, White, Cradle wash, 2D Wash technology)",IFB,0,0,0,"28,690",4,68,7,"Tue, 15 Feb, 7:00 am - 9:00 pm",0,68,https://m.media-amazon.com/images/I/71orEcfOpEL._AC_UL320_.jpg,Washing machine,"IFB 6 Kg 5 Star Fully-Automatic Front Loading Washing Machine (EVA ZX, White, Cradle wash, 2D Wash technology)",SKU: B07WHLQYJG
152,B09H34RLGX,Mini ultrasonic Washing Machine,Mini,0,0,0,999,0,0,57,"Monday, February 21",0,"₹999
₹2,299 Save ₹1,300 (57%)",https://m.media-amazon.com/images/I/51A0C5FCN8L._SY355_.jpg,Washing machine,Mini ultrasonic Washing Machine,SKU: B09H34RLGX
