,Rank,Probability distn
24,25,"{'B09M6VM2Y4': 0.15, 'B095HWN1HH': 0.1, 'B08H5L3W11': 0.1, 'B0993LYV1H': 0.1, 'B08KQDWSPD': 0.1, 'B08D3M5DJ7': 0.05, 'B08XJJFFCB': 0.05, 'B09G2XM555': 0.05, 'B09MS3VY3P': 0.05, 'B09Q17ZNK5': 0.05, 'B08H5K1F5S': 0.05, 'B09Q64JQKN': 0.05, 'B09H7KNG8T': 0.05, 'B08KQGY56C': 0.05}"
25,26,"{'B0993LYV1H': 0.15, 'B09Q17ZNK5': 0.1, 'B08KQDWSPD': 0.1, 'B08H5L3W11': 0.1, 'B095HWN1HH': 0.05, 'B09M6VGP7S': 0.05, 'B09H47KSGN': 0.05, 'B08FBK5FZC': 0.05, 'B09G2XM555': 0.05, 'B09H7KNG8T': 0.05, 'B08H5K1F5S': 0.05, 'B08D8DD3ZK': 0.05, 'B09M6VM2Y4': 0.05, 'B08X1J52TH': 0.05, 'B099DZBYPQ': 0.05}"
26,27,"{'B09MS3VY3P': 0.1, 'B099DZBYPQ': 0.1, 'B08D8DD3ZK': 0.1, 'B08H5K1F5S': 0.1, 'B08CZT17J5': 0.05, 'B09N746RYN': 0.05, 'B09G2XM555': 0.05, 'B08FBK5FZC': 0.05, 'B0993LYV1H': 0.05, 'B0972FRWS7': 0.05, 'B09B6CP35Y': 0.05, 'B09Q17ZNK5': 0.05, 'B07MNL598L': 0.05, 'B08H5L3W11': 0.05, 'B08KQDWSPD': 0.05, 'B08X1J52TH': 0.05}"
27,28,"{'B08H5L3W11': 0.2, 'B099DZBYPQ': 0.2, 'B0993LYV1H': 0.15, 'B08KQDWSPD': 0.1, 'B09Q17ZNK5': 0.1, 'B08CZT17J5': 0.05, 'B0972FRWS7': 0.05, 'B08H5K1F5S': 0.05, 'B08X1J52TH': 0.05, 'B0953BJDNJ': 0.05}"
28,29,"{'B08H5K1F5S': 0.15, 'B07ZBJL6CB': 0.15, 'B099DZBYPQ': 0.1, 'B09B6CP35Y': 0.1, 'B01LP0UKJE': 0.05, 'B09Q2W2J89': 0.05, 'B09MS3VY3P': 0.05, 'B09Q17ZNK5': 0.05, 'B095HWN1HH': 0.05, 'B09G2XM555': 0.05, 'B09GJKYTQZ': 0.05, 'B0993LYV1H': 0.05, 'B08D8DD3ZK': 0.05, 'B08H5L3W11': 0.05}"
29,30,"{'B09MS3VY3P': 0.15, 'B095HWN1HH': 0.1, 'B09B6CP35Y': 0.1, 'B0972FRWS7': 0.05, 'B08H5L3W11': 0.05, 'B09P51CWM6': 0.05, 'B09M6VGP7S': 0.05, 'B09G2XM555': 0.05, 'B09M6VM2Y4': 0.05, 'B09Q17ZNK5': 0.05, 'B09RZHK3R9': 0.05, 'B08X1J52TH': 0.05, 'B09P1836R1': 0.05, 'B09H7KNG8T': 0.05, 'B09JZH9FR4': 0.05, 'B09NXPJS14': 0.05}"
30,31,"{'B0972FRWS7': 0.1, 'B09N746RYN': 0.1, 'B08D8DD3ZK': 0.1, 'B099DZBYPQ': 0.1, 'B08H5L3W11': 0.05, 'B08FBK5FZC': 0.05, 'B09M6VSXMG': 0.05, 'B09G2XM555': 0.05, 'B095HWN1HH': 0.05, 'B09Q17ZNK5': 0.05, 'B09MS3VY3P': 0.05, 'B09Q64JQKN': 0.05, 'B08QWZGBBR': 0.05, 'B097YRCLJ1': 0.05, 'B08NC266ZH': 0.05, 'B082RZZVXT': 0.05}"
31,32,"{'B07ZBJL6CB': 0.15, 'B09M6VGP7S': 0.1, 'B0972FRWS7': 0.1, 'B09H47KSGN': 0.1, 'B099DZBYPQ': 0.1, 'B09MS3VY3P': 0.1, 'B09JZH9FR4': 0.1, 'B08D8C6131': 0.05, 'B09M6VSXMG': 0.05, 'B095HWN1HH': 0.05, 'B09Q64JQKN': 0.05, 'B08QWZGBBR': 0.05}"
32,33,"{'B09N746RYN': 0.15, 'B09P51CWM6': 0.1, 'B08D8C6131': 0.1, 'B09H7KNG8T': 0.1, 'B07R47GK57': 0.05, 'B0972FRWS7': 0.05, 'B095HWN1HH': 0.05, 'B09JZH9FR4': 0.05, 'B099DZBYPQ': 0.05, 'B09RZHK3R9': 0.05, 'B09Q16KQCJ': 0.05, 'B07R8F317Z': 0.05, 'B09RVXLM1P': 0.05, 'B09G3C3FRR': 0.05, 'B0993JWC89': 0.05}"
33,34,"{'B09MS3VY3P': 0.15, 'B09G9BHQ7R': 0.1, 'B097K8JY34': 0.05, 'B099DZBYPQ': 0.05, 'B09G3C3FRR': 0.05, 'B0993LYV1H': 0.05, 'B09M6VGP7S': 0.05, 'B09N746RYN': 0.05, 'B09M6VSXMG': 0.05, 'B07ZBJL6CB': 0.05, 'B09RZHK3R9': 0.05, 'B095HWN1HH': 0.05, 'B09G3DGMT5': 0.05, 'B09L7V8N1C': 0.05, 'B08QWZGBBR': 0.05, 'B09RVXLM1P': 0.05, 'B07RXR98HL': 0.05}"
34,35,"{'B09G3C3FRR': 0.1, 'B09N73XBKK': 0.1, 'B09P51CWM6': 0.1, 'B09N73TVWJ': 0.1, 'B09RVXLM1P': 0.05, 'B08FBK5FZC': 0.05, 'B097QY6TTX': 0.05, 'B09M6VGP7S': 0.05, 'B097YRCLJ1': 0.05, 'B09RZHK3R9': 0.05, 'B09N746RYN': 0.05, 'B09GJKYTQZ': 0.05, 'B09G3DGMT5': 0.05, 'B09BZ7Z5NT': 0.05, 'B08QWZGBBR': 0.05, 'B08GYG6655': 0.05}"
35,36,"{'B09G3C3FRR': 0.15, 'B09G2XM555': 0.15, 'B09RVXLM1P': 0.1, 'B0972FRWS7': 0.1, 'B09DGMRBPJ': 0.05, 'B09P1836R1': 0.05, 'B09P51CWM6': 0.05, 'B09NXPJS14': 0.05, 'B09H7KNG8T': 0.05, 'B09G3DGMT5': 0.05, 'B09RZHK3R9': 0.05, 'B08X1J52TH': 0.05, 'B09JZH9FR4': 0.05, 'B08L416KPS': 0.05}"
36,37,"{'B097QY6TTX': 0.2, 'B09G3C3FRR': 0.2, 'B09P1836R1': 0.1, 'B09JZH9FR4': 0.1, 'B0993K6WNL': 0.05, 'B09G9BHQ7R': 0.05, 'B07NX2LM3T': 0.05, 'B08LCJZTB7': 0.05, 'B09MS3VY3P': 0.05, 'B09N73XBKK': 0.05, 'B08L416KPS': 0.05, 'B08QWZGBBR': 0.05}"
37,38,"{'B09Q1CX6RZ': 0.2, 'B09G3DGMT5': 0.15, 'B097QY6TTX': 0.1, 'B09Q19Q3V3': 0.05, 'B08FBK5FZC': 0.05, 'B09RVXSKKX': 0.05, 'B09P51CWM6': 0.05, 'B09N746RYN': 0.05, 'B09RVXLM1P': 0.05, 'B09JZH9FR4': 0.05, 'B07W5Q47V8': 0.05, 'B08QWZGBBR': 0.05, 'B0972FRWS7': 0.05, 'B09N73XBKK': 0.05}"
38,39,"{'B097QY6TTX': 0.2, 'B09RZHK3R9': 0.1, 'B09QM7WY71': 0.05, 'B09Q19Q3V3': 0.05, 'B093WSK5P8': 0.05, 'B0993K6WNL': 0.05, 'B09RVXSKKX': 0.05, 'B0972FRWS7': 0.05, 'B09RVXLM1P': 0.05, 'B09N73TVWJ': 0.05, 'B09N73XBKK': 0.05, 'B09RKQT7WR': 0.05, 'B08LCJZTB7': 0.05, 'B09P1836R1': 0.05, 'B09Q1CX6RZ': 0.05, 'B09G2XM555': 0.05}"
39,40,"{'B09RVXLM1P': 0.25, 'B08LCJZTB7': 0.1, 'B07Y534476': 0.05, 'B08J2YXTPK': 0.05, 'B08F3BTCGX': 0.05, 'B09Q19Q3V3': 0.05, 'B09RZHK3R9': 0.05, 'B09S3BKT28': 0.05, 'B0953BJDNJ': 0.05, 'B09NXPJS14': 0.05, 'B09S3HGVD8': 0.05, 'B07QL79R1P': 0.05, 'B09Q1CX6RZ': 0.05, 'B09G3DGMT5': 0.05, 'B0993KNW8R': 0.05}"
