,Unnamed: 0,Unnamed: 0.1,asin,title,brand,Sponsored,Best Seller,Amazon's Choice,Price,Rating,NoofRatings,Discount,Delivery,Prime Delivery,base,image url,cat
0,0,0,B076VF43GG,"Amazon Brand - Solimo 12-inch Plastic & Glass Wall Clock - Classic Roulette (Silent Movement, Black Frame)",Amazon,0,0,0,599,4.2,"14,526",46,"Thursday, February 10",1,"14,526",https://m.media-amazon.com/images/I/81XEPquUw3L._AC_UL320_.jpg,Wall clock
1,1,1,B07454M93T,"Amazon Brand - Solimo Wood Abstract 12"" Silent Movement Wall Clock (Sheer Black Frame)",Amazon,0,0,0,636,4.0,"2,516",47,"Tuesday, February 15",1,"2,516",https://m.media-amazon.com/images/I/81iUk1N-1lL._AC_UL320_.jpg,Wall clock
2,2,2,B076VCK58B,"Amazon Brand - Solimo 12-inch Plastic & Glass Wall Clock - Coloured Stripes (Step Movement, Black Frame)",Amazon,1,0,0,599,4.2,816,40,"Thursday, February 10",1,816,https://m.media-amazon.com/images/I/81MKnAhosLL._SY355_.jpg,Wall clock
3,3,3,B082DRZ3PD,"Amazon Brand - Solimo 12-inch Plastic & Glass Wall Clock - Victorian Bliss (Silent Movement), Black",Amazon,1,0,0,639,3.9,"1,958",57,,1,"1,958",https://m.media-amazon.com/images/I/81Lv4srIp1L._AC_UL320_.jpg,Wall clock
4,4,4,B01N6OOW52,"Ajanta Abstract Metal Quartz Wall Clock (32 cm x 32 cm x 3.5 cm, White)",Ajanta,0,0,1,489,4.3,"41,963",0,"Thursday, February 10",0,"41,963",https://m.media-amazon.com/images/I/71qUOeD+iRS._AC_UL320_.jpg,Wall clock
5,5,5,B00PXJWJJI,Ajanta AQ-2147 Quartz Glass Abstract Blue Office Clock (214 x 44 x 215 mm ),Ajanta,0,0,0,175,3.9,"33,359",0,"Monday, February 14",0,"33,359",https://m.media-amazon.com/images/I/71sMxD+-fGL._AC_UL320_.jpg,Wall clock
6,6,6,B01MS642JN,"Ajanta Abstract Plastic Round Wall Clock (20.5 cm x 20.5 cm x 3.5 cm, Pink)",Ajanta,0,0,0,175,3.9,"5,275",0,"Saturday, February 12",0,"5,275",https://m.media-amazon.com/images/I/71a6FYtpLvL._AC_UL320_.jpg,Wall clock
7,7,7,B01GTX6I3E,"Ajanta Plastic Quartz Abstract Wall Clock (Gold, 32 cm x 32 cm x 3.5 cm)",Ajanta,0,0,0,381,4.2,"8,965",18,"Thursday, February 10",0,"8,965",https://m.media-amazon.com/images/I/71HA7WNwomL._AC_UL320_.jpg,Wall clock
8,8,8,B0184B9110,"Ajanta Plastic Abstract Round Wall Clock (18.8 cm x 18.8 cm x 3.5 cm, Ivory)",Ajanta,0,0,0,165,3.7,"3,305",0,"Saturday, February 12",0,"3,305",https://m.media-amazon.com/images/I/718zI3dgr9L._AC_UL320_.jpg,Wall clock
9,9,9,B07VGHBH91,"Oreva AQ 6197 Plastic Wooden Look Designer Wall Clock (32.5 x 32.5 x 4.8 cm), Brown",Oreva,0,0,0,345,4.3,"7,681",13,"Saturday, February 12",0,"7,681",https://m.media-amazon.com/images/I/71NxVDmcHVL._AC_UL320_.jpg,Wall clock
10,10,10,B07281JH99,"Ajanta Plastic Abstract Quartz Wall Clock - Model No.957 (260mm x 260mm x 33mm, Ivory )",Ajanta,0,0,0,264,4.0,"5,071",2,"Thursday, February 10",0,"5,071",https://m.media-amazon.com/images/I/71uaNzIWmuL._AC_UL320_.jpg,Wall clock
11,11,11,B0716NTF52,"Ajanta Plastic Abstract Wall Clock (28 cm x 28 cm x 3.5 cm, White)",Ajanta,0,0,0,270,3.8,"3,531",0,"Saturday, February 12",0,"3,531",https://m.media-amazon.com/images/I/811-20UN+WL._AC_UL320_.jpg,Wall clock
12,12,12,B09Q1K6F1C,ZEPOLI - Wall Clock Silent Battery Operated Round Wall Clock Modern Simple Style Decor Clock Non-Ticking (Pastel Clock),ZEPOLI,0,0,0,595,4.5,46,46,"Monday, February 14",0,46,https://m.media-amazon.com/images/I/41mgX2yjEmL._AC_UL320_.jpg,Wall clock
13,13,13,B095BPBBWZ,STAR WORK - Black Wall Clock - 12 Inch Rose Gold Silent Non Ticking Quality Quartz Battery Operated Easy to Read Decorative Modern Design for Home/Office/Kitchen/Bedroom/Living Room,STAR,0,0,0,595,3.9,"3,039",40,"Monday, February 14",1,"3,039",https://m.media-amazon.com/images/I/71F8DIAlQZL._AC_UL320_.jpg,Wall clock
