,Rank,Probability distn
20,21,"{'B082DRZ3PD': 0.15, 'B0833XRXVG': 0.15, 'B092R6T6SM': 0.15, 'B092R64F9Z': 0.1, 'B09LSGRLS5': 0.05, 'B00XGRIVXW': 0.05, 'B09PY4JK4M': 0.05, 'B09D7244CH': 0.05, 'B00N2J2QNU': 0.05, 'B09GFJ6W8B': 0.05, 'B08KQNL2FB': 0.05, 'B09Q38VT74': 0.05, 'B076VGMFRY': 0.05}"
21,22,"{'B095BPBBWZ': 0.2, 'B09K6MGHCR': 0.15, 'B08VDTLJ9X': 0.1, 'B092R64F9Z': 0.1, 'B092R6T6SM': 0.1, 'B08WKY3F7N': 0.05, 'B075L4D3CZ': 0.05, 'B07ZTVC6J3': 0.05, 'B00N2J2GF8': 0.05, 'B08VD4MC8B': 0.05, 'B09L8P19XJ': 0.05, 'B076V9MWFL': 0.05}"
22,23,"{'B091FLC9Z2': 0.2, 'B09F6HQV7K': 0.1, 'B095BPBBWZ': 0.1, 'B09Q38VT74': 0.05, 'B07454M93T': 0.05, 'B07ZTVC6J3': 0.05, 'B09G55PGJP': 0.05, 'B092R64F9Z': 0.05, 'B014L8ES7W': 0.05, 'B09CLHDJ52': 0.05, 'B08VDTLJ9X': 0.05, 'B09M4BHLBQ': 0.05, 'B00XGRIVXW': 0.05, 'B09MWKK6CC': 0.05, 'B076VCHY3K': 0.05}"
23,24,"{'B091FLC9Z2': 0.2, 'B076VGMFRY': 0.1, 'B09DJ8C1N8': 0.05, 'B07454M93T': 0.05, 'B09F6HQV7K': 0.05, 'B09QJ4LPQT': 0.05, 'B09D7244CH': 0.05, 'B08Y1NCXC5': 0.05, 'B0967RXQ6G': 0.05, 'B09CLFRM1T': 0.05, 'B08M3B95WX': 0.05, 'B09CLHDJ52': 0.05, 'B08VDP78L3': 0.05, 'B091V3FDCR': 0.05, 'B08N5CR985': 0.05, 'B076VCP1LH': 0.05}"
24,25,"{'B08B8QL6MF': 0.15, 'B08F2JK7PY': 0.1, 'B07ZZ3CFNC': 0.1, 'B093DF6VJ2': 0.1, 'B09LS28Y58': 0.05, 'B07VP1X9B9': 0.05, 'B09BB9Q36Q': 0.05, 'B08FQYZQ51': 0.05, 'B09P7CCGFD': 0.05, 'B082DSKPT5': 0.05, 'B09DNQLQGB': 0.05, 'B07D4J8MRV': 0.05, 'B09MM7MXZ6': 0.05, 'B09NW5Q51Q': 0.05, 'B0982ZYTRS': 0.05}"
25,26,"{'B08B8QL6MF': 0.15, 'B093DF6VJ2': 0.1, 'B07ZZ3CFNC': 0.1, 'B09MM97N5W': 0.1, 'B09RPSFHWW': 0.1, 'B09J56ST7Z': 0.05, 'B0716NTF52': 0.05, 'B08V8H7DBD': 0.05, 'B08F2JK7PY': 0.05, 'B09LS28Y58': 0.05, 'B09KCK82V5': 0.05, 'B09M8N2QKW': 0.05, 'B09DNQLQGB': 0.05, 'B082DSKPT5': 0.05}"
26,27,"{'B07ZZ3CFNC': 0.2, 'B09LS28Y58': 0.15, 'B093DF6VJ2': 0.1, 'B09LSGRLS5': 0.1, 'B07BSWXZG6': 0.05, 'B01B94M8OQ': 0.05, 'B08B8QL6MF': 0.05, 'B07PCPLDYW': 0.05, 'B09RPSFHWW': 0.05, 'B08F2JK7PY': 0.05, 'B08MFJZS9G': 0.05, 'B09DNQLQGB': 0.05, 'B094FFWDXK': 0.05}"
27,28,"{'B07ZZ3CFNC': 0.15, 'B09DNQLQGB': 0.15, 'B07BDHRXTG': 0.1, 'B08V8H7DBD': 0.1, 'B07VP1X9B9': 0.05, 'B09MJFMMKW': 0.05, 'B08F2JK7PY': 0.05, 'B08ZST7976': 0.05, 'B09LS28Y58': 0.05, 'B09J56ST7Z': 0.05, 'B09LSGRLS5': 0.05, 'B09NW5Q51Q': 0.05, 'B09RPSFHWW': 0.05, 'B093DF6VJ2': 0.05}"
28,29,"{'B08V8H7DBD': 0.15, 'B08ZST7976': 0.1, 'B08XM414JJ': 0.1, 'B07ZZ3CFNC': 0.1, 'B0982ZLVQP': 0.1, 'B09KCK82V5': 0.05, 'B09J56ST7Z': 0.05, 'B07PCPLDYW': 0.05, 'B09NW5Q51Q': 0.05, 'B09FPJFSZ9': 0.05, 'B09MM97N5W': 0.05, 'B09LS28Y58': 0.05, 'B09LSGRLS5': 0.05, 'B09SJP2LT2': 0.05}"
29,30,"{'B09MM97N5W': 0.15, 'B09DNQLQGB': 0.1, 'B09LSGRLS5': 0.1, 'B0982ZYTRS': 0.05, 'B09J56ST7Z': 0.05, 'B09LS28Y58': 0.05, 'B08V8H7DBD': 0.05, 'B07CQ37PR2': 0.05, 'B07BDHRXTG': 0.05, 'B08ZST7976': 0.05, 'B07ZZ3CFNC': 0.05, 'B00PXJSIIE': 0.05, 'B08B8PCN52': 0.05, 'B08WKD4WR8': 0.05, 'B09NW5Q51Q': 0.05, 'B09RPSFHWW': 0.05}"
