,Unnamed: 0.1,Rank,Unnamed: 2,o_Rank,Data-id,Ad,Link,Brand,price,Discount,F-assured,Title,Description,Rating,#Ratings,#Reviews,Spotlight,Pvt,Images,F-Description,cat
10,10,11,13,14,WCKG5JF3MEAJMEAM,0,https://www.flipkart.com/capio-art-analog-26-cm-x-wall-clock/p/itmdfbfcdcae0489?pid=WCKG5JF3MEAJMEAM&lid=LSTWCKG5JF3MEAJMEAMM8RRQF&marketplace=FLIPKART&q=wall+clock&store=arb%2Fkjw%2Fbm1&srno=s_1_14&otracker=search&otracker1=search&iid=7e4637b9-e730-41a3-8370-0c15708faba7.WCKG5JF3MEAJMEAM.SEARCH&ssid=h9rz11zn800000001645030086785&qH=fb10b55a3494de8e,,₹278,81% off,1,CAPIO ART Analog 26 cm X 26 cm Wall Clock,"Multicolor, With Glass ",4.2,(784),,,0,http://rukmini1.flixcart.com/image/300/300/krtjgcw0/wall-clock/i/b/4/designer-clock-plastic-hanuman-analog-capio-art-original-imag5jf3uhhdmkdq.jpeg,SKU : WCKG5JF3MEAJMEAM,wall clocks
11,11,12,161,162,WCKFGGFHGTV8UEK5,0,https://www.flipkart.com/titan-analog-30-cm-x-wall-clock/p/itm83f69a2472ee3?pid=WCKFGGFHGTV8UEK5&lid=LSTWCKFGGFHGTV8UEK5QJJOKM&marketplace=FLIPKART&q=wall+clock&store=arb%2Fkjw%2Fbm1&srno=s_5_162&otracker=search&otracker1=search&iid=3c8c20b1-ce47-4c96-bb3d-92919a9c83fc.WCKFGGFHGTV8UEK5.SEARCH&ssid=m99pxs4rgg0000001644856309844&qH=fb10b55a3494de8e,,₹949,20% off,1,Titan Analog 30 cm X 30 cm Wall Clock,"White, With Glass ",4.5,"(3,987)",,,0,http://rukmini1.flixcart.com/image/300/300/jy90eq80/wall-clock/e/k/5/wall-clock-w0036pa01-analog-titan-original-imafggfazrddygkz.jpeg,SKU : WCKFGGFHGTV8UEK5,wall clocks
12,12,13,9,10,WCKFMHBYT8FAKGAZ,0,https://www.flipkart.com/grabbasket-analog-38-cm-x-26-wall-clock/p/itm34f4b4c3dee1b?pid=WCKFMHBYT8FAKGAZ&lid=LSTWCKFMHBYT8FAKGAZLTP2P3&marketplace=FLIPKART&q=wall+clock&store=arb%2Fkjw%2Fbm1&srno=s_1_10&otracker=search&otracker1=search&iid=7e4637b9-e730-41a3-8370-0c15708faba7.WCKFMHBYT8FAKGAZ.SEARCH&ssid=h9rz11zn800000001645030086785&qH=fb10b55a3494de8e,,₹349,65% off,1,GrabBasket Analog 38 cm X 26 cm Wall Clock,"Orange, With Glass ",4.0,"(7,145)",,,0,http://rukmini1.flixcart.com/image/300/300/k3bwrrk0/wall-clock/g/a/z/anchor-wall-clock-805-copper-analog-grabbasket-original-imafmhgyuf8zwsuk.jpeg,SKU : WCKFMHBYT8FAKGAZ,wall clocks
13,13,14,37,38,WCKFVU6S9EQXG5US,0,https://www.flipkart.com/ajanta-analog-20-cm-x-wall-clock/p/itm69f7822e12563?pid=WCKFVU6S9EQXG5US&lid=LSTWCKFVU6S9EQXG5USRUB1T3&marketplace=FLIPKART&q=wall+clock&store=arb%2Fkjw%2Fbm1&srno=s_1_38&otracker=search&otracker1=search&iid=7e4637b9-e730-41a3-8370-0c15708faba7.WCKFVU6S9EQXG5US.SEARCH&ssid=h9rz11zn800000001645030086785&qH=fb10b55a3494de8e,,₹265,11% off,1,AJANTA Analog 20 cm X 20 cm Wall Clock,"Light Blue, With Glass ",3.8,(242),,,0,http://rukmini1.flixcart.com/image/300/300/kfeamq80/wall-clock/5/u/s/basic-clock-8-for-home-and-office-aq1217-baby-blue-analog-ajanta-original-imafvuhmyyfuzshg.jpeg,SKU : WCKFVU6S9EQXG5US,wall clocks
14,14,15,41,42,WCKEJMVMQNNVGFZT,0,https://www.flipkart.com/ajanta-analog-3-5-cm-x-20-5-wall-clock/p/itmejmvmh5ztmzha?pid=WCKEJMVMQNNVGFZT&lid=LSTWCKEJMVMQNNVGFZT5YYH64&marketplace=FLIPKART&q=wall+clock&store=arb%2Fkjw%2Fbm1&srno=s_2_42&otracker=search&otracker1=search&iid=ebf666ad-fda1-4219-9503-a6e534b27a49.WCKEJMVMQNNVGFZT.SEARCH&ssid=lx14q4scv40000001645030090415&qH=fb10b55a3494de8e,,₹259,13% off,1,AJANTA Analog 3.5 cm X 20.5 cm Wall Clock,"Blue, With Glass ",3.8,"(45,564)",,,0,http://rukmini1.flixcart.com/image/300/300/wall-clock/f/z/t/2147-ajanta-analog-2147-blue-original-imaejmg59sqwgmvs.jpeg,SKU : WCKEJMVMQNNVGFZT,wall clocks
15,15,16,161,162,WCKFPCEHZZBEBWVT,0,https://www.flipkart.com/titan-analog-30-cm-x-wall-clock/p/itmd5434bfe41542?pid=WCKFPCEHZZBEBWVT&lid=LSTWCKFPCEHZZBEBWVTBMNSTA&marketplace=FLIPKART&q=wall+clock&store=arb%2Fkjw%2Fbm1&srno=s_5_162&otracker=search&otracker1=search&iid=4db331d4-0ea9-4ae1-b27a-58b3d160ed39.WCKFPCEHZZBEBWVT.SEARCH&ssid=lk0z8ugh7k0000001645004803438&qH=fb10b55a3494de8e,,"₹1,594",0% off,1,Titan Analog 30 cm X 30 cm Wall Clock,"Beige, With Glass ",4.3,(455),,,0,http://rukmini1.flixcart.com/image/300/300/k7nnrm80/wall-clock/w/v/t/wall-clock-w0046pa01-analog-titan-original-imafpugetea7wefw.jpeg,SKU : WCKFPCEHZZBEBWVT,wall clocks
16,16,17,22,23,WCKFU87P4JFBS3X3,0,https://www.flipkart.com/grabbasket-analog-40-cm-x-35-wall-clock/p/itm2cbd845d3ca97?pid=WCKFU87P4JFBS3X3&lid=LSTWCKFU87P4JFBS3X3OJSZGB&marketplace=FLIPKART&q=wall+clock&store=arb%2Fkjw%2Fbm1&srno=s_1_23&otracker=search&otracker1=search&iid=7e4637b9-e730-41a3-8370-0c15708faba7.WCKFU87P4JFBS3X3.SEARCH&ssid=h9rz11zn800000001645030086785&qH=fb10b55a3494de8e,,₹449,65% off,1,GrabBasket Analog 40 cm X 35 cm Wall Clock,"Gold, With Glass ",4.3,"(1,371)",,,0,http://rukmini1.flixcart.com/image/300/300/kddf6a80/wall-clock/3/x/3/radhey-krishna-rahey-cpr-analog-grabbasket-original-imafuafvjzcjegyg.jpeg,SKU : WCKFU87P4JFBS3X3,wall clocks
17,17,18,8,9,WCKG2Z3NXG2QARFA,0,https://www.flipkart.com/grabbasket-analog-33-cm-x-24-wall-clock/p/itm8041b5d3dad66?pid=WCKG2Z3NXG2QARFA&lid=LSTWCKG2Z3NXG2QARFAPE43MC&marketplace=FLIPKART&q=wall+clock&store=arb%2Fkjw%2Fbm1&srno=s_1_9&otracker=search&otracker1=search&iid=7e4637b9-e730-41a3-8370-0c15708faba7.WCKG2Z3NXG2QARFA.SEARCH&ssid=h9rz11zn800000001645030086785&qH=fb10b55a3494de8e,,₹309,71% off,1,GrabBasket Analog 33 cm X 24 cm Wall Clock,"Brown, With Glass ",3.9,"(5,770)",,,0,http://rukmini1.flixcart.com/image/300/300/ko62xzk0/wall-clock/q/9/w/beautiful-colorful-designer-decorative-mauli-ganesha-790-cpr-original-imag2z3nydpgygkw.jpeg,SKU : WCKG2Z3NXG2QARFA,wall clocks
18,18,19,17,18,WCKFNWMWXGWZYHPH,0,https://www.flipkart.com/grabbasket-analog-29-cm-x-wall-clock/p/itm9d690d7c27909?pid=WCKFNWMWXGWZYHPH&lid=LSTWCKFNWMWXGWZYHPH17ZQ0Z&marketplace=FLIPKART&q=wall+clock&store=arb%2Fkjw%2Fbm1&srno=s_1_18&otracker=search&otracker1=search&iid=7e4637b9-e730-41a3-8370-0c15708faba7.WCKFNWMWXGWZYHPH.SEARCH&ssid=h9rz11zn800000001645030086785&qH=fb10b55a3494de8e,,₹299,50% off,1,GrabBasket Analog 29 cm X 29 cm Wall Clock,"Brown, With Glass ",4.1,(457),,,0,http://rukmini1.flixcart.com/image/300/300/k572gsw0/wall-clock/h/p/h/mikon-clock-mikon-clock-analog-grabbasket-original-imafnwx9bzzsg9vs.jpeg,SKU : WCKFNWMWXGWZYHPH,wall clocks
19,19,20,39,40,WCKFVEEVB4CSBBNX,Advertisement,https://www.flipkart.com/dinine-craft-analog-28-cm-x-wall-clock/p/itmb4a7604e57860?pid=WCKFVEEVB4CSBBNX&lid=LSTWCKFVEEVB4CSBBNXRY1PX1&marketplace=FLIPKART&q=wall+clock&store=arb%2Fkjw%2Fbm1&srno=s_1_40&otracker=search&otracker1=search&iid=en_sADTeE2w7wTIiVY138wTOzELXMR3oSEH0TeqOfdD4jyAptE7l8uyeLLY4LL7F4k2ijHyphsT46tNKIbqcXBQpA%3D%3D&ssid=l47475too00000001644919292204&qH=fb10b55a3494de8e,,₹279,81% off,0,Dinine Craft Analog 28 cm X 28 cm Wall Clock,"Brown, With Glass ",3.8,(382),,,0,http://rukmini1.flixcart.com/image/300/300/kerfl3k0/wall-clock/2/y/z/analog-plastic-wall-clock-for-home-decoration-statndard-size-28-original-imafvdqg4d9u6bht.jpeg,SKU : WCKFVEEVB4CSBBNX,wall clocks
20,20,21,30,31,WCKFPGCBNQBP2BP8,0,https://www.flipkart.com/r-p-enterprise-analog-70-cm-x-60-wall-clock/p/itmb53375a999b2a?pid=WCKFPGCBNQBP2BP8&lid=LSTWCKFPGCBNQBP2BP8OGN1XH&marketplace=FLIPKART&q=wall+clock&store=arb%2Fkjw%2Fbm1&srno=s_1_31&otracker=search&otracker1=search&iid=7e4637b9-e730-41a3-8370-0c15708faba7.WCKFPGCBNQBP2BP8.SEARCH&ssid=h9rz11zn800000001645030086785&qH=fb10b55a3494de8e,,₹368,75% off,1,R&P ENTERPRISE Analog 70 cm X 60 cm Wall Clock,"Black, Red, Without Glass ",4.1,"(2,628)",,,0,http://rukmini1.flixcart.com/image/300/300/k52s58w0/wall-clock/x/c/b/fancy-and-designer-wall-clock-for-home-offices-bedroom-living-original-imaf7cs5htzaprn3.jpeg,SKU : WCKFPGCBNQBP2BP8,wall clocks
